;Region,Year,;Trigger,;Weak Layer,Depth_inches,;Aspect,Day,Elevation_feet,Vertical_inches,Month
Uintas,2012,Snowmobiler,Facets,48.0,Northeast,20,10000.0,3600.0,12
Skyline,2012,Snowmobiler,Ground Interface,42.0,Northeast,21,10200.0,7200.0,12
Uintas,2012,Snowmobiler,Facets,36.0,Northeast,22,10400.0,3600.0,12
Uintas,2012,Snowmobiler,Facets,36.0,Northeast,22,9500.0,1200.0,12
Salt Lake,2012,Unknown,New Snow/Old Snow Interface,54.0,West,23,9700.0,1800.0,12
Salt Lake,2012,Skier,New Snow,12.0,East,27,9400.0,6000.0,12
Salt Lake,2012,Skier,Density Change,14.0,Northeast,27,10400.0,6000.0,12
Salt Lake,2012,Skier,Facets,24.0,Northwest,28,9500.0,5400.0,12
Skyline,2012,Natural,Facets,24.0,North,26,9600.0,1200.0,12
Salt Lake,2012,Snowboarder,New Snow/Old Snow Interface,12.0,East,28,10500.0,3600.0,12
Provo,2012,Natural,Facets,30.0,Northwest,27,10000.0,2400.0,12
Ogden,2012,Natural,New Snow,24.0,East,29,7500.0,1200.0,12
Salt Lake,2013,Skier,Density Change,12.0,Southeast,1,10400.0,1200.0,1
Salt Lake,2013,Skier,Unknown,12.0,North,2,9000.0,2400.0,1
Salt Lake,2013,Snowmobiler,Facets,36.0,North,9,9200.0,2400.0,1
Logan,2013,Natural,Wet grains,10.0,South,9,6800.0,3600.0,1
Salt Lake,2013,Skier,Facets,18.0,Northeast,11,9300.0,6000.0,1
Salt Lake,2013,Skier,Density Change,12.0,Northeast,12,9200.0,720.0,1
Salt Lake,2013,Skier,Facets,18.0,Northeast,12,7900.0,8400.0,1
Salt Lake,2013,Natural,Depth Hoar,24.0,Northeast,12,10300.0,9600.0,1
Salt Lake,2013,Skier,Facets,18.0,Northeast,12,9300.0,4200.0,1
Salt Lake,2013,Natural,Facets,30.0,East,11,10300.0,15000.0,1
Salt Lake,2013,Unknown,Unknown,6.0,East,17,10200.0,1800.0,1
Skyline,2012,Natural,Facets,36.0,North,27,9900.0,8400.0,12
Salt Lake,2013,Natural,New Snow,12.0,East,18,8100.0,600.0,1
Ogden,2013,Snowboarder,Facets,12.0,Northeast,23,7300.0,600.0,1
Provo,2013,Natural,Facets,12.0,Northwest,24,6200.0,12000.0,1
Logan,2013,Unknown,Ground Interface,12.0,North,25,6000.0,6000.0,1
Provo,2013,Natural,Facets,12.0,North,25,7300.0,21000.0,1
Logan,2013,Snowmobiler,Unknown,14.0,East,25,8600.0,6000.0,1
Logan,2013,Snowmobiler,Facets,12.0,North,25,8600.0,4800.0,1
Salt Lake,2013,Unknown,Facets,14.0,Northeast,26,9600.0,1500.0,1
Salt Lake,2013,Skier,Facets,12.0,Northwest,26,9700.0,4800.0,1
Logan,2013,Natural,Ground Interface,10.0,Northwest,26,5600.0,7200.0,1
Salt Lake,2013,Skier,New Snow/Old Snow Interface,12.0,Unknown,27,9700.0,600.0,1
Salt Lake,2013,Skier,Facets,24.0,North,28,9600.0,6000.0,1
Salt Lake,2013,Skier,Facets,36.0,Northwest,28,9800.0,840.0,1
Salt Lake,2013,Skier,Facets,3.0,Northwest,28,9900.0,1800.0,1
Salt Lake,2013,Skier,New Snow/Old Snow Interface,36.0,Northeast,30,9400.0,6000.0,1
Salt Lake,2013,Skier,Facets,18.0,Northwest,31,7800.0,960.0,1
Skyline,2013,Natural,Facets,18.0,Northeast,31,9800.0,1800.0,1
Skyline,2013,Natural,Facets,18.0,Northeast,31,9800.0,2400.0,1
Skyline,2013,Natural,Density Change,24.0,East,30,10200.0,9600.0,1
Ogden,2013,Natural,Ground Interface,12.0,North,1,5800.0,12000.0,2
Provo,2013,Skier,Facets,24.0,East,2,9400.0,960.0,2
Provo,2013,Skier,Facets,24.0,North,2,9100.0,6000.0,2
Salt Lake,2013,Skier,Facets,30.0,Northwest,2,9900.0,2400.0,2
Southwest,2013,Snowmobiler,Facets,30.0,Northeast,2,10400.0,4800.0,2
Southwest,2013,Snowmobiler,Facets,36.0,Northeast,2,10400.0,6000.0,2
Salt Lake,2013,Skier,Facets,36.0,North,2,9900.0,24000.0,2
Skyline,2013,Snowmobiler,Facets,24.0,East,2,10100.0,3600.0,2
Skyline,2013,Snowmobiler,Facets,24.0,Northeast,2,10300.0,3600.0,2
Skyline,2013,Snowmobiler,Facets,24.0,Northeast,2,10400.0,4800.0,2
Skyline,2013,Snowmobiler,Density Change,30.0,East,1,9700.0,1200.0,2
Salt Lake,2013,Skier,Facets,30.0,North,3,9900.0,4200.0,2
Salt Lake,2013,Skier,Facets,18.0,Northwest,3,8900.0,3600.0,2
Logan,2013,Snowmobiler,Facets,24.0,Northeast,3,8400.0,3600.0,2
Logan,2013,Natural,Facets,24.0,East,3,9200.0,5400.0,2
Uintas,2013,Snowmobiler,Facets,16.0,Northeast,3,11000.0,1800.0,2
Uintas,2013,Snowmobiler,Facets,12.0,Southeast,2,10600.0,2400.0,2
Uintas,2013,Snowmobiler,Facets,24.0,Northeast,3,10600.0,6000.0,2
Uintas,2013,Snowmobiler,Facets,36.0,Northeast,3,10000.0,3000.0,2
Provo,2013,Natural,Facets,12.0,East,5,9700.0,24000.0,2
Logan,2013,Unknown,Facets,36.0,Southeast,5,9500.0,5400.0,2
Salt Lake,2013,Unknown,Unknown,30.0,Northeast,1,9800.0,7200.0,2
Salt Lake,2013,Natural,Ground Interface,60.0,Northeast,10,9500.0,5400.0,2
Salt Lake,2013,Skier,New Snow/Old Snow Interface,12.0,Southeast,12,10500.0,240.0,2
Skyline,2013,Natural,New Snow,10.0,Northeast,14,9700.0,1800.0,2
Uintas,2013,Snowmobiler,New Snow/Old Snow Interface,18.0,Southeast,15,10500.0,3600.0,2
Skyline,2013,Snowmobiler,Facets,24.0,Northeast,16,10100.0,480.0,2
Salt Lake,2013,Unknown,Facets,5.0,Northeast,17,9600.0,8400.0,2
Uintas,2013,Natural,Facets,36.0,Southeast,13,10500.0,3600.0,2
Skyline,2013,Natural,Facets,24.0,East,17,10000.0,3600.0,2
Salt Lake,2013,Natural,Graupel,16.0,Northwest,16,8500.0,3000.0,2
Salt Lake,2013,Skier,Unknown,18.0,Northwest,19,10000.0,1800.0,2
Uintas,2013,Skier,Facets,16.0,Northwest,21,10200.0,3600.0,2
Salt Lake,2013,Skier,New Snow/Old Snow Interface,8.0,North,24,8600.0,2400.0,2
Salt Lake,2013,Skier,Facets,14.0,Northwest,24,9800.0,840.0,2
Provo,2013,Natural,New Snow,16.0,Southeast,23,10400.0,2400.0,2
Salt Lake,2013,Skier,New Snow/Old Snow Interface,12.0,Southeast,25,10000.0,1800.0,2
Salt Lake,2013,Snowboarder,New Snow/Old Snow Interface,10.0,South,24,10200.0,3600.0,2
Salt Lake,2013,Skier,Facets,14.0,Northwest,24,9800.0,1800.0,2
Salt Lake,2013,Natural,Facets,16.0,Northeast,28,10600.0,4800.0,2
Salt Lake,2013,Skier,Facets,12.0,North,26,8900.0,1200.0,2
Skyline,2013,Snowmobiler,Facets,24.0,Northeast,1,10400.0,3000.0,3
Salt Lake,2013,Snowboarder,Facets,24.0,Northeast,2,9400.0,3600.0,3
Provo,2013,Natural,Facets,8.0,Northwest,2,6000.0,9600.0,3
Provo,2013,Natural,Wet grains,8.0,Southeast,2,10100.0,15000.0,3
Salt Lake,2013,Skier,Density Change,8.0,Northwest,3,9800.0,2100.0,3
Provo,2013,Natural,New Snow/Old Snow Interface,24.0,Southeast,3,10000.0,18000.0,3
Provo,2013,Natural,Unknown,10.0,Southeast,3,10400.0,18000.0,3
Provo,2013,Natural,Facets,10.0,Northeast,3,6000.0,6000.0,3
Salt Lake,2013,Skier,New Snow/Old Snow Interface,8.0,North,4,10200.0,7200.0,3
Provo,2013,Natural,Density Change,12.0,Southeast,4,10100.0,18000.0,3
Salt Lake,2013,Unknown,Unknown,8.0,East,4,10000.0,3000.0,3
Salt Lake,2013,Skier,New Snow/Old Snow Interface,10.0,North,5,10800.0,6000.0,3
Logan,2013,Natural,Ground Interface,16.0,North,3,19406.039867567,15681.2955312705,3
Salt Lake,2013,Skier,Facets,30.0,Northwest,4,7300.0,4200.0,3
Salt Lake,2013,Skier,Density Change,5.0,South,9,9800.0,4800.0,3
Salt Lake,2013,Skier,Density Change,4.0,South,10,10700.0,10800.0,3
Salt Lake,2013,Skier,New Snow,6.0,East,10,10100.0,4200.0,3
Salt Lake,2013,Unknown,New Snow/Old Snow Interface,15.0,East,10,9500.0,1800.0,3
Salt Lake,2013,Skier,New Snow/Old Snow Interface,6.0,North,11,10000.0,3000.0,3
Moab,2013,Natural,New Snow,36.0,Southwest,10,11800.0,9600.0,3
Logan,2013,Snowmobiler,Facets,12.0,West,12,6500.0,1500.0,3
Provo,2013,Skier,Wet grains,6.0,Southeast,13,10500.0,21000.0,3
Logan,2013,Natural,Ground Interface,18.0,West,13,7600.0,8400.0,3
Salt Lake,2013,Natural,Wet grains,36.0,East,15,9900.0,8400.0,3
Logan,2013,Natural,Unknown,24.0,West,14,7600.0,9600.0,3
Uintas,2013,Skier,Facets,30.0,Northeast,18,10800.0,12000.0,3
Uintas,2013,Natural,Depth Hoar,36.0,Northeast,15,9800.0,2400.0,3
Salt Lake,2013,Skier,New Snow,8.0,North,20,10100.0,4800.0,3
Salt Lake,2013,Skier,Density Change,10.0,Northeast,21,10200.0,4200.0,3
Logan,2013,Skier,New Snow/Old Snow Interface,12.0,East,21,9000.0,2400.0,3
Salt Lake,2013,Natural,Graupel,10.0,Northwest,21,10500.0,1200.0,3
Provo,2013,Snow Bike,New Snow/Old Snow Interface,4.0,Southeast,23,9500.0,3600.0,3
Salt Lake,2013,Skier,New Snow,12.0,Northeast,23,10100.0,9600.0,3
Salt Lake,2013,Skier,New Snow,9.0,Northeast,23,10100.0,4800.0,3
Salt Lake,2013,Natural,New Snow/Old Snow Interface,20.0,Northeast,21,10600.0,18000.0,3
Logan,2013,Snowboarder,New Snow/Old Snow Interface,16.0,Northeast,23,9100.0,1200.0,3
Salt Lake,2013,Skier,New Snow,6.0,Northeast,23,10200.0,7200.0,3
Salt Lake,2013,Skier,Facets,20.0,Northeast,23,10200.0,2400.0,3
Salt Lake,2013,Skier,New Snow/Old Snow Interface,10.0,East,23,8800.0,2400.0,3
Salt Lake,2013,Skier,New Snow,15.0,Northeast,24,9600.0,8400.0,3
Provo,2013,Skier,New Snow/Old Snow Interface,15.0,Southeast,24,9100.0,1800.0,3
Salt Lake,2013,Snowboarder,New Snow/Old Snow Interface,12.0,North,23,9800.0,3000.0,3
Salt Lake,2013,Skier,New Snow/Old Snow Interface,21.0,North,24,9500.0,4800.0,3
Salt Lake,2013,Skier,New Snow/Old Snow Interface,18.0,Southeast,25,10800.0,21000.0,3
Moab,2013,Snowmobiler,Facets,48.0,North,25,9800.0,2400.0,3
Uintas,2013,Natural,New Snow/Old Snow Interface,10.0,Northeast,2,10200.0,1800.0,4
Uintas,2013,Natural,Depth Hoar,48.0,Northeast,3,10600.0,4800.0,4
Salt Lake,2013,Snowboarder,New Snow/Old Snow Interface,10.0,Northeast,9,10500.0,4200.0,4
Salt Lake,2013,Snowboarder,New Snow/Old Snow Interface,9.0,Southeast,9,9500.0,480.0,4
Salt Lake,2013,Skier,New Snow/Old Snow Interface,10.0,East,10,9800.0,7200.0,4
Salt Lake,2013,Skier,New Snow/Old Snow Interface,8.0,East,11,9900.0,18000.0,4
Uintas,2013,Natural,Facets,60.0,North,11,11000.0,9600.0,4
Skyline,2013,Natural,New Snow,1.0,Southeast,18,10500.0,3600.0,4
Salt Lake,2013,Skier,New Snow/Old Snow Interface,10.0,East,20,10300.0,3600.0,4
Salt Lake,2013,Natural,Density Change,14.0,Northeast,20,10400.0,4200.0,4
Salt Lake,2013,Natural,New Snow,6.0,Northeast,20,9800.0,1800.0,4
Salt Lake,2013,Snowboarder,New Snow/Old Snow Interface,12.0,East,21,10400.0,12000.0,4
Salt Lake,2013,Skier,New Snow/Old Snow Interface,8.0,South,21,10000.0,5400.0,4
Salt Lake,2013,Natural,Wet grains,6.0,East,21,11000.0,24000.0,4
Logan,2013,Natural,New Snow,7.0,East,27,11200.0,12000.0,4
Salt Lake,2013,Natural,Wet grains,18.0,Southwest,5,11000.0,8400.0,5
Salt Lake,2010,Skier,Unknown,18.0,Northeast,1,9500.0,4800.0,1
Logan,2010,Skier,Facets,24.0,Southeast,1,21652.5865123995,4435.5363866242,1
Ogden,2010,Skier,Unknown,12.0,Northeast,2,8500.0,3600.0,1
Salt Lake,2010,Snowboarder,New Snow/Old Snow Interface,20.0,Northeast,2,9500.0,12000.0,1
Logan,2010,Snowmobiler,Facets,18.0,East,2,8700.0,1500.0,1
Logan,2010,Skier,Facets,10.0,Northeast,2,8900.0,21000.0,1
Ogden,2010,Snowboarder,Facets,10.0,Northeast,2,8000.0,2400.0,1
Provo,2010,Skier,Facets,24.0,Northeast,3,10000.0,3600.0,1
Provo,2010,Skier,Facets,12.0,East,3,9900.0,3600.0,1
Logan,2010,Snowmobiler,Facets,24.0,North,3,8800.0,3000.0,1
Salt Lake,2010,Unknown,Facets,12.0,Northwest,5,9100.0,360.0,1
Logan,2010,Skier,Facets,15.0,North,3,8700.0,6000.0,1
Salt Lake,2010,Snowboarder,Unknown,20.0,North,6,9600.0,7200.0,1
Salt Lake,2010,Skier,Unknown,24.0,Northeast,7,10200.0,4800.0,1
Logan,2010,Natural,Facets,24.0,Northeast,1,9300.0,2100.0,1
Logan,2010,Natural,Facets,36.0,Northeast,1,9600.0,9600.0,1
Salt Lake,2010,Skier,Unknown,12.0,South,10,9300.0,3600.0,1
Logan,2010,Natural,Facets,18.0,Northeast,7,9000.0,6000.0,1
Salt Lake,2010,Skier,Unknown,18.0,Northwest,18,9700.0,7200.0,1
Salt Lake,2010,Skier,Facets,30.0,North,19,9300.0,3600.0,1
Salt Lake,2010,Skier,Density Change,20.0,East,19,10200.0,6000.0,1
Uintas,2010,Skier,Facets,14.0,Northeast,19,10900.0,3600.0,1
Salt Lake,2010,Skier,New Snow/Old Snow Interface,12.0,Northwest,19,9700.0,1200.0,1
Salt Lake,2010,Skier,Unknown,24.0,Northeast,20,10000.0,7200.0,1
Salt Lake,2010,Skier,Unknown,18.0,Northeast,20,10400.0,4800.0,1
Salt Lake,2010,Natural,Facets,16.0,North,20,10100.0,4800.0,1
Salt Lake,2010,Skier,Facets,24.0,Northwest,20,9800.0,6000.0,1
Salt Lake,2010,Skier,Unknown,18.0,West,20,10000.0,720.0,1
Salt Lake,2010,Skier,Density Change,10.0,North,21,9500.0,5400.0,1
Logan,2010,Snowboarder,Facets,24.0,North,21,8000.0,2400.0,1
Salt Lake,2010,Skier,New Snow,18.0,Northeast,21,9600.0,2400.0,1
Logan,2010,Skier,Facets,24.0,North,21,8000.0,2400.0,1
Salt Lake,2010,Snowboarder,Facets,30.0,Northwest,23,9200.0,7200.0,1
Salt Lake,2010,Snowboarder,Unknown,30.0,Northwest,22,9100.0,10800.0,1
Logan,2010,Natural,Unknown,60.0,Northeast,23,6000.0,30000.0,1
Salt Lake,2010,Skier,Facets,60.0,Northeast,23,9800.0,9600.0,1
Salt Lake,2010,Skier,Unknown,24.0,Southwest,23,9600.0,600.0,1
Ogden,2010,Unknown,Unknown,10.0,Unknown,23,5800.0,120.0,1
Salt Lake,2010,Skier,Facets,36.0,North,24,9600.0,9600.0,1
Logan,2010,Natural,Unknown,30.0,Northeast,24,6000.0,4200.0,1
Logan,2010,Unknown,Facets,24.0,West,24,6800.0,840.0,1
Salt Lake,2010,Unknown,Facets,18.0,East,24,1177.9061883621,4877.728916841,1
Salt Lake,2010,Skier,Facets,36.0,Northwest,25,9000.0,12000.0,1
Salt Lake,2010,Snowboarder,Facets,36.0,East,25,9900.0,2400.0,1
Logan,2010,Natural,Facets,48.0,Northeast,23,8500.0,30000.0,1
Uintas,2010,Natural,Facets,3.0,North,22,11000.0,4200.0,1
Uintas,2010,Natural,Facets,36.0,Northeast,24,9800.0,12000.0,1
Salt Lake,2010,Skier,Facets,36.0,Northeast,27,9800.0,9600.0,1
Salt Lake,2010,Skier,Facets,42.0,North,27,9200.0,9600.0,1
Logan,2010,Unknown,Facets,48.0,East,25,8400.0,1800.0,1
Logan,2010,Natural,Facets,48.0,North,24,9200.0,9600.0,1
Salt Lake,2010,Natural,Unknown,36.0,East,23,9600.0,7200.0,1
Salt Lake,2010,Skier,Facets,36.0,North,28,9100.0,12000.0,1
Salt Lake,2010,Unknown,Unknown,6.0,Southwest,27,6100.0,240.0,1
Salt Lake,2010,Snowmobiler,Facets,48.0,East,27,9600.0,4200.0,1
Skyline,2010,Natural,Facets,36.0,Northeast,25,10000.0,15000.0,1
Salt Lake,2010,Skier,Facets,30.0,Northeast,28,9500.0,12000.0,1
Salt Lake,2010,Explosive,Facets,36.0,Northeast,23,9800.0,9600.0,1
Provo,2010,Snowmobiler,Facets,36.0,North,29,10000.0,9600.0,1
Uintas,2010,Snowmobiler,Facets,3.0,Northeast,24,10100.0,4800.0,1
Salt Lake,2010,Snowmobiler,Facets,36.0,East,30,8300.0,1800.0,1
Salt Lake,2010,Snowmobiler,Facets,24.0,North,30,8100.0,3600.0,1
Ogden,2010,Skier,New Snow/Old Snow Interface,6.0,North,31,6700.0,1200.0,1
Salt Lake,2010,Snowboarder,Facets,48.0,North,1,9400.0,1800.0,2
Logan,2010,Natural,Facets,48.0,East,1,9500.0,3000.0,2
Salt Lake,2010,Unknown,Unknown,18.0,North,1,5600.0,720.0,2
Logan,2010,Natural,Facets,54.0,Northeast,31,8600.0,27000.0,1
Logan,2010,Snowmobiler,Facets,48.0,East,30,9500.0,6000.0,1
Ogden,2010,Skier,Surface Hoar,12.0,Northeast,31,7900.0,4800.0,1
Salt Lake,2010,Skier,Unknown,36.0,Unknown,3,7200.0,480.0,2
Provo,2010,Skier,Facets,8.0,North,5,10300.0,960.0,2
Ogden,2010,Skier,Surface Hoar,20.0,Northeast,6,6500.0,3600.0,2
Salt Lake,2010,Skier,Depth Hoar,36.0,North,6,9400.0,3000.0,2
Logan,2010,Snowmobiler,Facets,36.0,East,6,8900.0,7200.0,2
Ogden,2010,Unknown,Surface Hoar,12.0,North,7,8000.0,720.0,2
Logan,2010,Unknown,Facets,24.0,Northeast,7,6000.0,2400.0,2
Salt Lake,2010,Skier,Unknown,24.0,Northwest,7,9900.0,21000.0,2
Logan,2010,Snowmobiler,Facets,48.0,North,7,9400.0,9600.0,2
Logan,2010,Snowmobiler,Facets,54.0,Northeast,7,8900.0,3000.0,2
Uintas,2010,Snowmobiler,Facets,36.0,Northeast,7,10400.0,4800.0,2
Logan,2010,Unknown,Surface Hoar,12.0,North,7,8000.0,2400.0,2
Logan,2010,Snowboarder,Surface Hoar,12.0,North,11,9200.0,8400.0,2
Salt Lake,2010,Skier,Surface Hoar,36.0,Northeast,12,9000.0,4800.0,2
Logan,2010,Unknown,Surface Hoar,12.0,North,12,8600.0,5400.0,2
Salt Lake,2010,Skier,Surface Hoar,6.0,North,12,8800.0,9600.0,2
Logan,2010,Skier,Surface Hoar,12.0,North,12,8800.0,6000.0,2
Logan,2010,Snowboarder,Surface Hoar,12.0,East,12,7700.0,600.0,2
Salt Lake,2010,Skier,Surface Hoar,16.0,Northeast,13,8700.0,7200.0,2
Salt Lake,2010,Skier,Surface Hoar,6.0,Northeast,13,8300.0,6000.0,2
Salt Lake,2010,Skier,New Snow/Old Snow Interface,8.0,South,13,10400.0,2400.0,2
Logan,2010,Skier,Surface Hoar,12.0,North,13,8900.0,15000.0,2
Salt Lake,2010,Skier,Unknown,10.0,North,13,8900.0,1800.0,2
Salt Lake,2010,Unknown,Unknown,12.0,Northeast,13,9300.0,3000.0,2
Salt Lake,2010,Snowboarder,Unknown,6.0,North,13,8500.0,4200.0,2
Salt Lake,2010,Skier,Surface Hoar,6.0,North,13,9000.0,2400.0,2
Salt Lake,2010,Skier,Surface Hoar,12.0,North,14,9400.0,1200.0,2
Salt Lake,2010,Skier,Surface Hoar,7.0,Northeast,14,9600.0,1200.0,2
Uintas,2010,Unknown,Facets,24.0,Northeast,14,10400.0,3600.0,2
Logan,2010,Skier,Surface Hoar,18.0,Northeast,14,8400.0,2400.0,2
Salt Lake,2010,Snowboarder,Unknown,18.0,North,15,8700.0,3000.0,2
Logan,2010,Skier,Surface Hoar,12.0,Northeast,15,8200.0,2400.0,2
Salt Lake,2010,Unknown,Surface Hoar,24.0,Northeast,16,10100.0,1200.0,2
Salt Lake,2010,Natural,Unknown,12.0,Southeast,16,10400.0,7200.0,2
Provo,2010,Skier,Surface Hoar,12.0,Northeast,17,9700.0,8400.0,2
Logan,2010,Snowmobiler,Surface Hoar,30.0,North,15,8600.0,7200.0,2
Logan,2010,Unknown,Unknown,8.0,North,17,8800.0,600.0,2
Salt Lake,2010,Skier,Surface Hoar,10.0,Northeast,19,9000.0,600.0,2
Uintas,2010,Snowmobiler,Depth Hoar,36.0,Northeast,19,10000.0,3600.0,2
Salt Lake,2010,Unknown,New Snow/Old Snow Interface,12.0,North,19,9900.0,6000.0,2
Uintas,2010,Natural,Unknown,12.0,South,20,11400.0,4200.0,2
Salt Lake,2010,Skier,Unknown,12.0,Northwest,20,10200.0,9600.0,2
Salt Lake,2010,Unknown,Unknown,14.0,North,20,10100.0,4800.0,2
Salt Lake,2010,Skier,Surface Hoar,15.0,North,20,9200.0,1800.0,2
Salt Lake,2010,Skier,Surface Hoar,14.0,North,20,8400.0,15000.0,2
Ogden,2010,Snowboarder,Unknown,18.0,North,20,9400.0,9600.0,2
Salt Lake,2010,Skier,Facets,15.0,Northeast,19,10100.0,3000.0,2
Salt Lake,2010,Unknown,Surface Hoar,12.0,North,21,8800.0,3000.0,2
Salt Lake,2010,Skier,Surface Hoar,24.0,West,21,8600.0,1800.0,2
Logan,2010,Snowmobiler,New Snow/Old Snow Interface,19.0,Northeast,21,9400.0,2400.0,2
Ogden,2010,Skier,New Snow/Old Snow Interface,16.0,Northeast,21,8900.0,24000.0,2
Salt Lake,2010,Skier,Surface Hoar,12.0,Northeast,22,8600.0,600.0,2
Provo,2010,Skier,Surface Hoar,18.0,Northeast,22,9600.0,3600.0,2
Salt Lake,2010,Skier,Unknown,12.0,Northeast,22,8800.0,2400.0,2
Ogden,2010,Skier,Surface Hoar,12.0,Northeast,22,7800.0,6000.0,2
Logan,2010,Natural,Surface Hoar,12.0,North,15,8400.0,3000.0,2
Logan,2010,Snowmobiler,Surface Hoar,18.0,East,19,8400.0,600.0,2
Logan,2010,Snowmobiler,Unknown,20.0,East,19,9200.0,3000.0,2
Salt Lake,2010,Skier,Surface Hoar,20.0,North,22,9000.0,720.0,2
Salt Lake,2010,Unknown,Surface Hoar,12.0,North,23,9000.0,2400.0,2
Uintas,2010,Skier,Surface Hoar,12.0,North,23,10400.0,2400.0,2
Logan,2010,Snowmobiler,Surface Hoar,12.0,North,23,8700.0,2400.0,2
Provo,2010,Unknown,Surface Hoar,14.0,Northeast,23,9800.0,9600.0,2
Salt Lake,2010,Skier,Surface Hoar,15.0,North,24,8300.0,12000.0,2
Salt Lake,2010,Skier,Surface Hoar,12.0,North,24,8500.0,2400.0,2
Salt Lake,2010,Unknown,Unknown,12.0,Northwest,24,10000.0,3600.0,2
Salt Lake,2010,Skier,Surface Hoar,12.0,Northwest,25,9700.0,18000.0,2
Salt Lake,2010,Unknown,Surface Hoar,20.0,West,25,9200.0,600.0,2
Salt Lake,2010,Skier,New Snow,8.0,Southeast,25,10000.0,600.0,2
Salt Lake,2010,Skier,Surface Hoar,20.0,East,26,10200.0,9600.0,2
Salt Lake,2010,Snowboarder,Surface Hoar,24.0,Northeast,26,9500.0,1800.0,2
Logan,2010,Skier,Surface Hoar,12.0,Northwest,22,8200.0,1200.0,2
Ogden,2010,Skier,Surface Hoar,18.0,North,26,7500.0,21000.0,2
Logan,2010,Snowboarder,Surface Hoar,12.0,East,26,8100.0,600.0,2
Uintas,2010,Snowmobiler,Unknown,24.0,East,27,10200.0,2100.0,2
Uintas,2010,Skier,Depth Hoar,30.0,East,27,10800.0,3600.0,2
Salt Lake,2010,Skier,Surface Hoar,14.0,Northeast,27,8800.0,4800.0,2
Salt Lake,2010,Skier,Unknown,12.0,North,27,9600.0,600.0,2
Logan,2010,Natural,Unknown,12.0,East,28,6500.0,1200.0,2
Provo,2010,Skier,Surface Hoar,18.0,Northeast,1,9500.0,6000.0,3
Salt Lake,2010,Natural,Unknown,8.0,Southeast,1,9700.0,7200.0,3
Uintas,2010,Snowmobiler,Surface Hoar,12.0,Northeast,28,10500.0,1800.0,2
Uintas,2010,Snowmobiler,Surface Hoar,10.0,North,28,10600.0,2400.0,2
Salt Lake,2010,Skier,Surface Hoar,30.0,Southwest,1,9200.0,6000.0,3
Salt Lake,2010,Skier,Surface Hoar,24.0,Northwest,3,9200.0,4800.0,3
Logan,2010,Natural,Unknown,12.0,North,3,6700.0,12000.0,3
Salt Lake,2010,Skier,Unknown,24.0,North,27,9900.0,2400.0,2
Salt Lake,2010,Skier,Unknown,12.0,East,27,10000.0,4800.0,2
Moab,2010,Unknown,New Snow,36.0,Northeast,20,11600.0,18000.0,2
Logan,2010,Skier,Surface Hoar,14.0,North,5,8200.0,3600.0,3
Salt Lake,2010,Unknown,Depth Hoar,24.0,Northeast,5,8800.0,960.0,3
Salt Lake,2010,Skier,Facets,24.0,Northwest,5,9000.0,1500.0,3
