STATE,COUNTY,LATITUDE,LONGITUDE,FIRE_SIZE,CAUSE_CODE,CAUSE_DESCR,DISCOVERY_DATE,DISCOVERY_TIME,CONT_DATE,CONT_TIME
GA,Lowndes             ,30.9156,-83.0389,2.31,2.0,Equipment Use,2449535.5,1730,2449535.5,1845
GA,Charlton,30.8638,-81.9394,3.85,1.0,Lightning,2451710.5,1105,2451710.5,1105
OK,Atoka,34.44120014,-96.01589979,100.0,13.0,Missing/Undefined,2449428.5,1321,2449428.5,1840
UT,37,38.31638889,-109.14972222,0.1,1.0,Lightning,2451822.5,1206,2451822.5,1551
WV,Cabell,38.4382346,-82.23472289,5.0,7.0,Arson,2449836.5,1539,2449836.5,1539
MS,Marshall,34.76652975,-89.53852107,4.0,7.0,Arson,2450183.5,2100,2450183.5,2310
MS,Lincoln,31.42408836,-90.39368582,1.0,5.0,Debris Burning,2451315.5,1832,2451315.5,1939
AZ,Mohave,34.68540685,-113.37352725,2.25,3.0,Smoking,2449478.5,2210,2449478.5,2330
GA,White,34.6354,-83.7834,0.91,5.0,Debris Burning,2452322.5,1437,2452322.5,1437
AZ,Coconino,34.90440329,-111.60034774,40.0,3.0,Smoking,2450255.5,1330,2450259.5,1200
CA,Lassen,40.8966,-120.4411,7.0,12.0,Structure,2452871.5,0130,2452871.5,0600
NY,RENSSELAER,42.56682693,-73.66036716,0.85,9.0,Miscellaneous,2452758.5,1009,2452758.5,1009
GA,Bulloch,32.4408,-81.8306,5.4,5.0,Debris Burning,2451578.5,1239,2451578.5,1239
MS,Tallahatchie,33.89149736,-89.93561154,2.0,7.0,Arson,2448724.5,1000,2448724.5,1105
GA,Houston,32.4756,-83.7722,0.1,5.0,Debris Burning,2451609.5,1418,2451609.5,1418
AL,Tuscaloosa,33.398472,-87.621525,12.0,5.0,Debris Burning,2452745.5,2010,2452745.5,2252
MS,Leake,32.66353945,-89.48165877,1.0,9.0,Miscellaneous,2450080.5,1557,2450080.5,1635
WI,Chippewa,45.05475904,-91.28929109,0.1,2.0,Equipment Use,2448740.5,1859,2448740.5,1915
GA,Spalding            ,33.3157,-84.2191,84.0,1.0,Lightning,2449505.5,1500,2449506.5,1115
GA,Wilkinson           ,32.6469,-83.2306,10.51,1.0,Lightning,2449854.5,1625,2449854.5,1744
MS,Attala,32.9511186,-89.62096917,20.0,7.0,Arson,2449809.5,1230,2449809.5,1450
GA,Carroll             ,33.5388,-85.0602,0.37,7.0,Arson,2449822.5,1715,2449822.5,1830
CO,Rio Blanco,39.8478,-108.172,0.1,1.0,Lightning,2451749.5,1509,2451750.5,2000
CA,San Diego,32.635269,-116.728919,0.1,4.0,Campfire,2450935.5,0900,2450935.5,0900
MS,Harrison,30.37096174,-89.30490451,6.0,1.0,Lightning,2450315.5,1628,2450315.5,1855
WY,Sublette,43.0483,-110.0246,100.0,1.0,Lightning,2452120.5,1613,2452120.5,2100
GA,Jefferson,33.1965636,-82.35819907,0.03,9.0,Miscellaneous,2452461.5,1931,2452461.5,1931
NY,ROCKLAND,41.09686304,-74.01191695,0.75,3.0,Smoking,2452775.5,1553,2452775.5,1553
NM,43,35.935,-106.87444444,1.0,1.0,Lightning,2452877.5,0800,2452878.5,1130
ME,Penobscot,46.01666653,-68.50000127,1.0,5.0,Debris Burning,2449111.5,1900,2449111.5,1950
SC,15,33.23555556,-79.73583333,0.1,9.0,Miscellaneous,2452576.5,1245,2452576.5,1330
GA,Cherokee            ,34.1899,-84.4263,0.01,7.0,Arson,2450742.5,2015,2450742.5,2050
GA,Dodge               ,32.0812,-83.0231,0.64,2.0,Equipment Use,2448674.5,1300,2448674.5,1425
GA,Turner,31.7728,-83.6737,2.55,5.0,Debris Burning,2451578.5,1250,2451578.5,1250
GA,Bulloch             ,32.3036,-81.8112,0.56,5.0,Debris Burning,2450588.5,1915,2450588.5,2035
UT,27,38.72166667,-112.5,0.3,1.0,Lightning,2451052.5,1825,2451053.5,1415
GA,Monroe              ,33.1613,-83.9535,0.75,3.0,Smoking,2450147.5,1115,2450147.5,1211
CO,Montrose,38.4164,-108.769,0.1,1.0,Lightning,2452783.5,1515,2452786.5,1330
GA,Bacon,31.5667,-82.3774,0.96,7.0,Arson,2452317.5,1810,2452317.5,1810
GA,Berrien             ,31.2584,-83.1955,0.56,5.0,Debris Burning,2449162.5,0800,2449162.5,1015
GA,Toombs              ,32.2352,-82.4179,12.41,4.0,Campfire,2448674.5,1324,2448674.5,1412
OK,Delaware,36.48759822,-94.96170044,3.0,13.0,Missing/Undefined,2449086.5,1325,2449086.5,1445
NY,SULLIVAN,41.78627962,-74.60606411,0.1,9.0,Miscellaneous,2452421.5,2303,2452421.5,2303
AZ,Cochise,31.73552625,-109.10597392,20.0,1.0,Lightning,2450241.5,1930,2450241.5,2100
WA,7,47.96666667,-120.39,8500.0,1.0,Lightning,2451029.5,2130,2451122.5,1600
MS,Perry,31.25742009,-89.00641024,5.0,7.0,Arson,2449744.5,1615,2449744.5,1830
WV,Lincoln,38.02524337,-82.16824102,5.0,7.0,Arson,2450052.5,2130,2450053.5,2130
MS,Yalobusha,33.95386033,-89.83653889,2.0,5.0,Debris Burning,2450541.5,1320,2450541.5,1435
OK,Adair,35.86370104,-94.63900008,2.0,13.0,Missing/Undefined,2449347.5,1410,2449347.5,1445
OR,19,43.235,-122.58666667,0.1,1.0,Lightning,2451022.5,1621,2451022.5,2100
CA,Modoc,41.4214,-120.649539,1.0,2.0,Equipment Use,2452508.5,1621,2452508.5,1700
ID,79,47.95333333,-116.23166667,0.1,4.0,Campfire,2451104.5,1445,2451105.5,0800
GA,Bleckley            ,32.4755,-83.3668,1.23,5.0,Debris Burning,2450519.5,1630,2450519.5,1710
GA,Chattooga,34.4302,-85.484,3.4,1.0,Lightning,2452356.5,2200,2452356.5,2200
GA,Glascock            ,33.2466,-82.6032,0.21,5.0,Debris Burning,2449330.5,1400,2449330.5,1430
GA,Chattooga           ,34.4302,-85.3596,6.55,2.0,Equipment Use,2450124.5,1800,2450125.5,1230
GA,Tift,31.4642,-83.4343,2.04,1.0,Lightning,2451733.5,1900,2451733.5,1900
MS,Yazoo,32.8636623,-90.14307737,3.0,9.0,Miscellaneous,2450154.5,1030,2450154.5,1115
MS,Perry,30.92337939,-89.07212875,3.0,7.0,Arson,2448646.5,1230,2448646.5,1323
MI,Roscommon,44.4863019,-84.64368393,9.0,9.0,Miscellaneous,2449817.5,1650,2449818.5,0830
CO,Routt,40.7778,-106.7248,0.1,1.0,Lightning,2451332.5,1535,2451333.5,1530
GA,Bryan North         ,32.0978,-81.449,0.48,5.0,Debris Burning,2450686.5,1530,2450686.5,1640
NY,ONONDAGA,42.83533866,-76.16752664,0.1,7.0,Arson,2452470.5,1914,2452470.5,1914
GA,Lowndes             ,30.6585,-83.24,3.22,5.0,Debris Burning,2450092.5,1130,2450092.5,1219
ME,Washington,44.74999963,-67.41666293,1.4,8.0,Children,2449116.5,1350,2449116.5,1405
NV,Mineral,38.836,-118.8382,2.0,1.0,Lightning,2452131.5,1853,2452132.5,1800
MS,Wilkinson,31.25349869,-91.32581444,2.0,2.0,Equipment Use,2451437.5,1242,2451437.5,1300
GA,Dougherty           ,31.5158,-84.0156,3.34,5.0,Debris Burning,2449836.5,1800,2449836.5,1955
NY,ORANGE,41.52548027,-74.31409756,2.1,9.0,Miscellaneous,2452331.5,1317,2452331.5,1317
GA,Chattooga           ,34.4816,-85.1737,1.04,7.0,Arson,2449877.5,2200,2449877.5,2328
NV,White Pine,39.3666,-115.5009,0.1,1.0,Lightning,2451760.5,1340,2451760.5,1615
AZ,Pinal,32.68416545,-111.52490712,0.1,9.0,Miscellaneous,2450297.5,0105,2450297.5,0600
NY,ONONDAGA,43.11531012,-76.2064661,0.5,7.0,Arson,2452777.5,2055,2452777.5,2055
GA,Burke               ,33.1607,-81.9698,0.95,3.0,Smoking,2449492.5,0930,2449492.5,1020
CO,51,38.87,-106.61361111,0.3,1.0,Lightning,2452467.5,1200,2452467.5,1630
NY,HERKIMER,43.0684155,-75.15424717,0.1,9.0,Miscellaneous,2452779.5,1515,2452779.5,1515
MI,CRAWFORD,44.52759,-84.60344,0.5,5.0,Debris Burning,2452416.5,1451,2452416.5,1451
OK,Pushmataha,34.67430149,-95.26100145,0.1,13.0,Missing/Undefined,2449055.5,2320,2449055.5,2330
WV,McDowell,37.48524961,-81.81915435,15.0,4.0,Campfire,2449713.5,2100,2449714.5,2100
AZ,5,34.53916667,-111.44,0.2,1.0,Lightning,2452787.5,1700,2452787.5,1930
GA,Turner,31.7043,-83.674,36.54,5.0,Debris Burning,2451586.5,1645,2451586.5,1645
NY,QUEENS,40.75188299,-73.88375198,0.1,9.0,Miscellaneous,2452721.5,1718,2452721.5,1718
AZ,5,35.26333333,-111.44833333,0.1,1.0,Lightning,2452125.5,0808,2452127.5,1033
AZ,1,33.825,-109.13333333,0.1,1.0,Lightning,2450974.5,1501,2450974.5,1600
GA,Haralson            ,33.8473,-85.0429,0.46,7.0,Arson,2450691.5,0950,2450691.5,1210
MI,Otsego,45.03471495,-84.70417771,0.2,8.0,Children,2449507.5,1430,2449508.5,1130
ID,29,42.58277778,-111.16055556,0.1,1.0,Lightning,2452867.5,1839,2452867.5,2045
GA,Gordon,34.43,-84.8207,0.97,5.0,Debris Burning,2452213.5,1528,2452213.5,1528
GA,Houston,32.4756,-83.6911,0.15,5.0,Debris Burning,2452183.5,1654,2452183.5,1654
GA,Worth,31.413,-83.9956,3.46,5.0,Debris Burning,2452286.5,1340,2452286.5,1340
SC,73,34.80166667,-83.11805556,0.5,7.0,Arson,2451851.5,1930,2451851.5,2030
GA,Ben Hill,31.7041,-83.2921,0.13,5.0,Debris Burning,2452175.5,1314,2452175.5,1314
KY,Leslie,37.0665,-83.2459,1.0,5.0,Debris Burning,2452324.5,1715,2452324.5,1715
GA,Union               ,34.8755,-84.0738,0.53,5.0,Debris Burning,2450140.5,1100,2450140.5,1200
CA,San Diego,32.5684,-116.7678,0.1,13.0,Missing/Undefined,2451349.5,1600,2451349.5,1600
PA,CLARION,41.10666667,-79.63444444,24.0,5.0,Debris Burning,2452726.5,1654,2452726.5,1654
WI,Wood,44.29816333,-89.82781889,2.4,5.0,Debris Burning,2449801.5,1858,2449801.5,1928
MS,Jackson,30.59037535,-88.56285392,1.0,5.0,Debris Burning,2451285.5,1431,2451285.5,1512
AZ,Coconino,35.17502431,-111.58036737,0.1,13.0,Missing/Undefined,2450285.5,1555,2450285.5,2100
WV,Preston,39.40738649,-79.78384479,3.0,5.0,Debris Burning,2449109.5,1300,2449109.5,1300
WA,13,46.15027778,-117.68583333,0.5,1.0,Lightning,2451393.5,0900,2451395.5,1400
WI,Douglas,46.318035,-91.62618816,1.5,2.0,Equipment Use,2449485.5,2138,2449485.5,2220
GA,Appling             ,31.9095,-82.3169,2.14,1.0,Lightning,2449148.5,2300,2449149.5,1533
GA,Bleckley            ,32.5098,-83.2246,10.3,5.0,Debris Burning,2450154.5,1410,2450154.5,1605
WA,77,46.725,-121.045,0.1,1.0,Lightning,2450996.5,0915,2450996.5,1630
MS,Union,34.43158167,-89.20032191,10.0,7.0,Arson,2449056.5,1430,2449056.5,1615
NY,ORLEANS,43.1989183,-78.07858197,0.9,7.0,Arson,2452760.5,0621,2452760.5,0621
NY,RENSSELAER,42.63967898,-73.74609504,0.1,9.0,Miscellaneous,2452823.5,1606,2452823.5,1606
GA,Fayette             ,33.4529,-84.5471,0.7,7.0,Arson,2449923.5,1512,2449923.5,1615
GA,Camden              ,30.7609,-81.6614,0.18,2.0,Equipment Use,2449167.5,1450,2449167.5,1519
GA,Richmond            ,33.4179,-82.0509,8.34,7.0,Arson,2450123.5,1200,2450123.5,2000
MS,Harrison,30.4728935,-89.0972123,3.0,9.0,Miscellaneous,2451543.5,1713,2451543.5,1840
GA,Berrien             ,31.1556,-83.2164,38.64,5.0,Debris Burning,2450123.5,1200,2450123.5,1310
GA,Walton              ,33.6755,-83.7058,1.54,5.0,Debris Burning,2450531.5,1445,2450531.5,1530
KY,Breathitt,37.511,-83.097,60.0,5.0,Debris Burning,2452374.5,1830,2452375.5,1830
CO,083,37.175,-107.51666667,0.1,1.0,Lightning,2449224.5,1800,2449225.5,1500
GA,McIntosh            ,31.4979,-81.4951,1.0,2.0,Equipment Use,2450222.5,1300,2450222.5,1450
GA,Pulaski             ,32.1498,-83.3492,0.01,9.0,Miscellaneous,2449312.5,1320,2449312.5,1400
GA,Bulloch,32.3893,-81.7297,0.95,5.0,Debris Burning,2451639.5,1850,2451639.5,1850
NY,SARATOGA,43.00477273,-73.85712368,0.5,9.0,Miscellaneous,2452816.5,1346,2452816.5,1346
OR,Baker,44.3271,-117.2774,0.3,2.0,Equipment Use,2451770.5,0215,2451770.5,1419
GA,Wayne               ,31.7209,-81.9352,1.51,1.0,Lightning,2450300.5,1615,2450300.5,1700
ID,Oneida,42.0352,-112.4255,1069.0,1.0,Lightning,2452136.5,1212,2452138.5,1400
OK,Latimer,34.80469904,-95.47119913,2.0,13.0,Missing/Undefined,2449058.5,2330,2449059.5,0105
GA,Morgan              ,33.4869,-83.6658,5.08,5.0,Debris Burning,2450166.5,1615,2450166.5,1730
UT,27,38.77638889,-112.38333333,0.7,1.0,Lightning,2451757.5,1735,2451759.5,1800
UT,Iron,38.03968,-113.55056,0.1,1.0,Lightning,2451758.5,1930,2451759.5,1000
GA,Marion              ,32.3045,-84.5414,0.08,6.0,Railroad,2449071.5,1611,2449071.5,1648
GA,Columbia,33.4693,-82.1738,1.87,5.0,Debris Burning,2451639.5,1510,2451639.5,1510
GA,Wilcox              ,32.0813,-83.5717,1.68,5.0,Debris Burning,2449224.5,1715,2449224.5,1830
NY,JEFFERSON,43.96368809,-75.98684371,2.0,9.0,Miscellaneous,2452748.5,2338,2452749.5,2338
MS,Choctaw,33.1290571,-89.29865847,1.0,9.0,Miscellaneous,2450902.5,1255,2450902.5,1400
MS,Leake,32.86410349,-89.61109355,3.0,7.0,Arson,2451339.5,1440,2451339.5,1545
AL,Baldwin,30.465169,-87.843928,0.5,5.0,Debris Burning,2452928.5,1228,2452928.5,1325
GA,Laurens             ,32.5267,-82.6819,4.16,7.0,Arson,2449092.5,1600,2449092.5,1712
MS,Tallahatchie,33.96146515,-90.05375449,40.0,7.0,Arson,2449802.5,1000,2449802.5,1515
WY,31,42.37861111,-105.16944444,1.5,1.0,Lightning,2452133.5,1600,2452133.5,2100
WV,Putnam,38.40904206,-81.92980847,0.2,7.0,Arson,2451500.5,2020,2451500.5,2020
AZ,Cochise,31.88064875,-110.23893559,1.0,13.0,Missing/Undefined,2449422.5,1127,2449422.5,1505
WY,Sweetwater,41.0016,-109.3529,0.3,1.0,Lightning,2452865.5,1700,2452871.5,0915
NY,WASHINGTON,42.97168664,-73.37733807,0.5,9.0,Miscellaneous,2452849.5,2043,2452849.5,2043
GA,Early               ,31.259,-85.0757,0.48,6.0,Railroad,2450726.5,1730,2450726.5,1900
GA,Johnson             ,32.561,-82.6617,0.32,5.0,Debris Burning,2449100.5,1210,2449100.5,1305
OK,McCurtain,33.96149775,-94.78140272,7.0,13.0,Missing/Undefined,2449241.5,1502,2449241.5,1720
CO,Delta,38.8811,-107.5459,0.1,1.0,Lightning,2451381.5,1715,2451381.5,2015
CO,Moffat,40.3402,-107.9751,0.1,1.0,Lightning,2452838.5,0830,2452838.5,1100
WA,53,47.08333333,-121.54166667,6.0,7.0,Arson,2451107.5,0930,2451109.5,1600
GA,Bartow              ,34.3272,-84.7993,35.97,7.0,Arson,2449316.5,2100,2449316.5,2324
AZ,Yavapai,34.2712596,-112.2213614,0.5,7.0,Arson,2449362.5,1830,2449362.5,2046
AL,Russell,32.300973,-85.391308,1.0,7.0,Arson,2452725.5,1722,2452725.5,1826
NY,RICHMOND,40.51556825,-74.23383641,0.1,9.0,Miscellaneous,2452573.5,1736,2452573.5,1736
NC,199,35.805,-82.225,1.0,7.0,Arson,2450554.5,1700,2450554.5,1900
GA,McIntosh            ,31.515,-81.3746,0.4,2.0,Equipment Use,2449387.5,1415,2449387.5,1510
MS,Jackson,30.52160909,-88.66175346,1.0,5.0,Debris Burning,2449351.5,1326,2449351.5,1408
GA,Washington          ,32.9039,-82.8463,0.22,6.0,Railroad,2449157.5,1855,2449157.5,2250
MS,Rankin,32.15633115,-90.01457203,3.0,5.0,Debris Burning,2449963.5,1600,2449963.5,1709
WV,Mason,38.6396519,-82.10514193,2.0,7.0,Arson,2449814.5,1820,2449814.5,1820
OK,Delaware,36.29909887,-94.9261016,15.0,13.0,Missing/Undefined,2448918.5,1020,2448918.5,1340
CA,Shasta,40.523581,-121.79395,0.1,1.0,Lightning,2451763.5,2301,2451764.5,0015
KY,Johnson,37.769,-82.808,1.0,6.0,Railroad,2452381.5,1600,2452381.5,1600
MS,Clay,33.68286265,-88.90393432,1.0,7.0,Arson,2449074.5,1610,2449074.5,1630
CA,ORANGE,33.591667,-117.616667,1472.0,13.0,Missing/Undefined,2452407.5,1443,2452409.5,1800
WV,Raleigh,37.70604775,-81.24731501,0.2,5.0,Debris Burning,2449106.5,1535,2449106.5,1535
NY,SUFFOLK,40.69547231,-73.36586044,0.1,9.0,Miscellaneous,2452003.5,1314,2452003.5,1314
GA,Jasper              ,33.2641,-83.7079,1.51,3.0,Smoking,2448660.5,0900,2448660.5,1305
GA,Effingham,32.1492,-81.3072,1.02,5.0,Debris Burning,2452225.5,1543,2452225.5,1543
GA,Tattnall,31.9094,-81.9343,0.12,5.0,Debris Burning,2451955.5,1245,2451955.5,1245
GA,Polk                ,34.0017,-85.3332,4.5,7.0,Arson,2449199.5,1510,2449199.5,1715
AZ,5,34.645,-111.11666667,0.3,4.0,Campfire,2450971.5,1305,2450971.5,1500
GA,Long,31.7037,-81.7343,1.38,7.0,Arson,2451619.5,1302,2451619.5,1302
GA,McIntosh            ,31.4807,-81.4351,0.9,7.0,Arson,2449058.5,1230,2449058.5,1349
UT,47,40.67722222,-109.76055556,153.0,1.0,Lightning,2452497.5,1530,2452503.5,1800
GA,Bryan North         ,32.115,-81.57,1.61,5.0,Debris Burning,2448643.5,1320,2448643.5,1420
NY,KINGS,40.68052153,-73.88288597,0.1,2.0,Equipment Use,2452928.5,1103,2452928.5,1103
GA,Lee                 ,31.6187,-84.2164,1.02,5.0,Debris Burning,2448680.5,1350,2448680.5,1451
WI,Jackson,44.21885422,-90.69512878,0.03,6.0,Railroad,2450243.5,0905,2450243.5,0915
GA,Burke               ,32.9721,-81.7463,0.59,7.0,Arson,2449155.5,1230,2449155.5,1445
MS,Carroll,33.42893356,-89.98700002,6.0,7.0,Arson,2448695.5,1555,2448695.5,1805
GA,Liberty,31.8064,-81.5324,0.65,5.0,Debris Burning,2452298.5,1426,2452298.5,1426
WV,Hampshire,39.27153914,-78.70576288,3.0,5.0,Debris Burning,2449802.5,1355,2449802.5,1355
GA,Lumpkin,34.5841,-83.9705,0.24,5.0,Debris Burning,2452013.5,1238,2452013.5,1238
MS,Jones,31.59633867,-89.15311828,6.0,5.0,Debris Burning,2450865.5,1225,2450865.5,1313
KY,Pike,37.347,-82.363,15.0,4.0,Campfire,2452342.5,1215,2452342.5,1215
NY,ESSEX,44.29846,-73.78623055,0.81,9.0,Miscellaneous,2452403.5,1528,2452403.5,1528
OR,Malheur,44.2788,-118.106,0.1,1.0,Lightning,2451755.5,1716,2451755.5,1816
WI,Menominee,44.88372189,-88.68054212,0.45,7.0,Arson,2449829.5,1735,2449829.5,1745
MS,Walthall,31.05642467,-90.09245678,2.0,5.0,Debris Burning,2449906.5,1420,2449906.5,1520
GA,Brantley            ,31.1552,-81.9379,0.12,5.0,Debris Burning,2450157.5,1718,2450157.5,1745
UT,Beaver,38.1607,-113.58054,0.2,1.0,Lightning,2452117.5,1340,2452117.5,1600
GA,Baker,31.3103,-84.4959,3.91,5.0,Debris Burning,2451655.5,1525,2451655.5,1525
GA,Brooks              ,30.8986,-83.5173,1.04,7.0,Arson,2450222.5,1230,2450222.5,1340
MS,Leake,32.88470439,-89.56555557,9.0,7.0,Arson,2450158.5,1155,2450158.5,1345
MS,Marion,31.22473449,-89.94088771,2.0,7.0,Arson,2449374.5,1430,2449374.5,1510
WV,Hampshire,39.39899938,-78.67384965,1.0,1.0,Lightning,2451378.5,1450,2451378.5,1450
GA,Lee                 ,31.8073,-84.1766,8.58,7.0,Arson,2449617.5,1650,2449617.5,1801
GA,Cherokee            ,34.2242,-84.4678,0.01,3.0,Smoking,2450583.5,1420,2450583.5,1430
GA,Polk,34.0873,-85.2105,5.98,7.0,Arson,2451558.5,1654,2451558.5,1654
NY,NEW YORK,40.73260746,-73.99826627,0.1,9.0,Miscellaneous,2452570.5,1226,2452570.5,1226
GA,Gordon              ,34.3958,-84.9241,0.13,5.0,Debris Burning,2450138.5,1500,2450138.5,1530
NV,Washoe,39.8541,-119.6796,0.1,2.0,Equipment Use,2452475.5,1629,2452475.5,1707
NY,ALBANY,42.62660581,-73.75758699,0.1,9.0,Miscellaneous,2451609.5,0153,2451609.5,0153
CA,Riverside,33.8812,-116.501869,0.1,9.0,Miscellaneous,2451091.5,1833,2451091.5,1839
OK,Pushmataha,34.49919943,-95.61419683,5.0,13.0,Missing/Undefined,2450142.5,0819,2450142.5,1045
MT,63,46.80333333,-114.19333333,0.1,1.0,Lightning,2450680.5,1945,2450681.5,1520
ME,Somerset,44.71666731,-69.41666445,0.5,2.0,Equipment Use,2448785.5,1448,2448785.5,1510
WY,Sweetwater,41.2947,-109.2837,0.1,1.0,Lightning,2452865.5,1745,2452870.5,1415
ID,Ada,43.48843,-116.29314,83.0,1.0,Lightning,2452413.5,1030,2452414.5,1000
WV,Jefferson,39.24222986,-77.90592065,0.2,8.0,Children,2451373.5,1747,2451373.5,1747
WI,Grant,43.18123455,-90.45165792,0.1,5.0,Debris Burning,2448711.5,1426,2448711.5,1435
GA,Thomas,30.933,-83.9158,0.11,5.0,Debris Burning,2451611.5,1512,2451611.5,1512
GA,Chattooga           ,34.5674,-85.4861,9.59,7.0,Arson,2449427.5,1945,2449427.5,2135
GA,Brantley            ,31.1553,-82.1577,0.45,1.0,Lightning,2450268.5,1515,2450268.5,1715
GA,Ware                ,31.1896,-82.3375,4.28,5.0,Debris Burning,2450136.5,1400,2450136.5,1502
GA,Henry               ,33.3671,-84.0554,3.15,5.0,Debris Burning,2449376.5,1430,2449376.5,1530
WV,Hampshire,39.26992908,-78.748713,0.5,5.0,Debris Burning,2450588.5,2200,2450588.5,2200
WI,Jackson,44.36955273,-90.86431332,0.2,9.0,Miscellaneous,2450349.5,1405,2450349.5,1432
ID,79,46.95333333,-115.38333333,0.1,1.0,Lightning,2452481.5,1440,2452485.5,1000
WV,Ritchie,39.24188495,-81.08723447,0.2,2.0,Equipment Use,2452086.5,1610,2452086.5,1610
GA,Polk,34.0359,-85.0654,0.2,5.0,Debris Burning,2452319.5,2000,2452319.5,2000
CA,Mariposa,37.52765,-119.895811,0.1,2.0,Equipment Use,2452095.5,2221,2452095.5,2233
GA,Camden,30.9152,-81.7398,0.16,5.0,Debris Burning,2451994.5,1509,2451994.5,1509
WV,Wayne,38.34103302,-82.44877042,8.0,7.0,Arson,2448683.5,1045,2448683.5,1045
MS,Lincoln,31.50009777,-90.51272701,1.0,8.0,Children,2448807.5,1635,2448807.5,1710
WI,Marinette,45.29974937,-87.98388239,0.1,9.0,Miscellaneous,2449087.5,1325,2449087.5,1341
GA,Chattooga,34.4988,-85.3606,1.24,4.0,Campfire,2451639.5,1415,2451639.5,1415
MS,Lee,34.29584531,-88.60292091,4.0,5.0,Debris Burning,2449428.5,1458,2449428.5,1635
WV,Lincoln,38.03300964,-82.1428295,1.0,7.0,Arson,2452365.5,1533,2452365.5,1533
GA,Liberty             ,31.7893,-81.3917,0.01,2.0,Equipment Use,2450388.5,1050,2450388.5,1111
CA,Tuolumne,37.862369,-120.474581,89.0,1.0,Lightning,2452877.5,1453,2452878.5,1800
NY,ONEIDA,43.08823527,-75.23444954,0.5,3.0,Smoking,2451758.5,2304,2451758.5,2304
NM,39,36.85027778,-106.2625,0.1,1.0,Lightning,2452841.5,1112,2452841.5,1120
WV,Mason,38.55490853,-82.08667444,0.5,7.0,Arson,2448770.5,1715,2448770.5,1715
GA,Upson,32.75,-84.2388,2.8,5.0,Debris Burning,2452215.5,1551,2452215.5,1551
MT,027,46.77111111,-109.44138889,0.1,1.0,Lightning,2452141.5,1000,2452141.5,1500
GA,Thomas              ,30.9502,-84.0155,0.09,2.0,Equipment Use,2450800.5,1600,2450800.5,1650
UT,Box Elder,41.71989,-113.82243,146.0,1.0,Lightning,2452133.5,1500,2452135.5,1800
GA,Fayette             ,33.5044,-84.5883,1.65,5.0,Debris Burning,2449070.5,1256,2449070.5,1422
NY,WAYNE,43.09933118,-77.26780864,0.1,9.0,Miscellaneous,2452849.5,0600,2452849.5,0600
OR,19,43.35166667,-122.54833333,0.1,1.0,Lightning,2451021.5,1917,2451024.5,1600
GA,Union,34.8412,-83.9906,3.46,5.0,Debris Burning,2451938.5,1526,2451938.5,1526
WV,Kanawha,38.1871083,-81.36974474,0.5,5.0,Debris Burning,2451293.5,1237,2451293.5,1237
