STATE,COUNTY,LATITUDE,LONGITUDE,FIRE_SIZE,CAUSE_CODE,CAUSE_DESCR,DISCOVERY_DATE,DISCOVERY_TIME,CONT_DATE,CONT_TIME
WV,Mingo,37.66464781,-82.26586409,0.2,5.0,Debris Burning,2453702.5,1320,2453702.5,1320
NY,BROOME,42.40314613,-76.03541589,1.5,5.0,Debris Burning,2453857.5,1437,2453857.5,1437
TN,Carter,36.1883333,-81.9933333,0.7,7.0,Arson,2453479.5,1430,2453479.5,1635
AL,Clarke,31.663398,-87.726559,1.0,2.0,Equipment Use,2455013.5,1435,2455013.5,1500
SC,Aiken County,33.583595,-81.850685,2.5,5.0,Debris Burning,2457074.5,1447,2457074.5,1518
MS,HOLMES,33.22005333,-90.1353267,2.0,5.0,Debris Burning,2456013.5,1057,2456013.5,1252
NY,SUFFOLK,40.7771,-72.845,0.1,11.0,Powerline,2456429.5,2145,2456429.5,2210
NC,Harnett,35.2737,-79.1415,0.4,5.0,Debris Burning,2455265.5,1135,2455265.5,1218
AZ,001,34.21888889,-109.77777778,0.1,1.0,Lightning,2457265.5,1135,2457266.5,1832
PA,CENTRE,41.17028,-77.51083,0.1,7.0,Arson,2455993.5,1600,2455993.5,1716
TN,BENTON,36.061717,-88.085167,1.0,2.0,Equipment Use,2456106.5,2100,2456106.5,2200
NY,NASSAU,40.64928904,-73.6630302,1.45,9.0,Miscellaneous,2453482.5,1259,2453482.5,1259
FL,Highlands,27.2998,-81.3254,9.0,4.0,Campfire,2457154.5,1520,2457154.5,1700
NV,Clark,36.2231,-114.1858,100.0,1.0,Lightning,2453549.5,1017,2453552.5,1300
MN,St. Louis,46.78768835,-92.30440565,2.5,6.0,Railroad,2455676.5,1058,2455676.5,1142
UT,Emery,39.443,-110.46967,1.0,2.0,Equipment Use,2454354.5,1620,2454354.5,1900
AL,Talladega,33.349659,-86.229793,3.0,7.0,Arson,2453082.5,1342,2453082.5,1540
MN,Todd,46.30198236,-94.78152181,34.5,7.0,Arson,2455836.5,1545,2455836.5,1720
NC,Cabarrus,35.62028056,-81.22078889,0.1,13.0,Missing/Undefined,2455604.5,1436,2455604.5,1500
NY,Bronx,40.8456,-73.9243,0.1,9.0,Miscellaneous,2457232.5,1722,2457232.5,1747
MS,SHARKEY,32.89947234,-90.84054195,2.0,5.0,Debris Burning,2456678.5,1511,2456678.5,1715
OK,Pushmataha,34.32599999,-95.65016664,1.0,9.0,Miscellaneous,2455740.5,1555,2455740.5,1555
WI,Marquette,43.8556,-89.3066,0.05,2.0,Equipment Use,2455697.5,1000,2455697.5,1007
CO,Mesa,39.0161,-108.2922,2.4,1.0,Lightning,2453537.5,1040,2453537.5,1545
NC,Brunswick,33.94186667,-78.00055,2.0,7.0,Arson,2456088.5,1843,2456088.5,1935
NY,HERKIMER,43.0188,-75.1775,4.5,5.0,Debris Burning,2456761.5,1740,2456831.5,1806
MT,29,47.92888889,-113.54444444,0.1,3.0,Smoking,2453940.5,1500,2453940.5,1555
GA,Floyd,34.27321944,-85.1544,0.67,7.0,Arson,2456601.5,1647,2456601.5,1747
MN,Mahnomen,47.27921192,-95.63248544,0.25,7.0,Arson,2456803.5,1450,2456803.5,1510
NV,Lincoln,37.4456,-115.0331,563.0,1.0,Lightning,2453922.5,1120,2453925.5,1405
CA,5,38.52555556,-120.35138889,0.1,1.0,Lightning,2454402.5,1700,2454402.5,1800
NC,Moore,35.4579,-79.55963333,0.2,2.0,Equipment Use,2456820.5,1607,2456820.5,1626
CA,71,34.33055556,-117.00388889,0.02,1.0,Lightning,2454343.5,1409,2454343.5,1500
GA,Irwin,31.71638889,-83.18305556,0.3,5.0,Debris Burning,2456265.5,1633,2456265.5,1723
PA,BEDFORD,39.7525,-78.73528,2.25,7.0,Arson,2456003.5,1415,2456003.5,1800
MT,Lincoln,48.84027778,-115.25833333,0.1,1.0,Lightning,2456897.5,2040,2456897.5,2218
CA,Shasta,40.501025,-121.975931,0.1,9.0,Miscellaneous,2454176.5,1339,2454176.5,1339
KS,Sumner,37.35,-97.42,1.0,5.0,Debris Burning,2457109.5,1628,2457109.5,1831
CA,037,34.4152778,-117.778889,0.1,7.0,Arson,2455411.5,0706,2455411.5,1400
CA,El Dorado,38.741892,-120.87,0.1,2.0,Equipment Use,2454274.5,1116,2454274.5,1126
OR,005,45.5036111,-121.740556,0.1,4.0,Campfire,2455420.5,1635,2455420.5,2000
AZ,Mohave,36.77247,-113.56356,0.1,1.0,Lightning,2456839.5,1500,2456839.5,1730
OK,40,34.78928,-95.05893,1.0,5.0,Debris Burning,2456770.5,1322,2456770.5,1437
MO,Benton,38.21016,-93.11185,10.0,9.0,Miscellaneous,2457041.5,1505,2457041.5,1640
AL,Conecuh,31.357157,-86.862272,0.3,9.0,Miscellaneous,2454320.5,1447,2454320.5,1530
GA,Appling,31.77333333,-82.32888889,0.21,5.0,Debris Burning,2456240.5,1202,2456240.5,1230
AR,HOT SPRING,34.23502,-92.94403,2.0,2.0,Equipment Use,2455818.5,1938,2455818.5,2110
WY,35,43.16527778,-110.17361111,8.0,1.0,Lightning,2453557.5,1700,2453560.5,1721
SC,Williamsburg County,33.675358,-79.809883,0.5,5.0,Debris Burning,2456050.5,0854,2456050.5,1027
NY,CLINTON,44.62186881,-73.60896657,0.94,7.0,Arson,2454934.5,1758,2454934.5,1758
NC,Cumberland,35.19283333,-78.98848333,0.5,8.0,Children,2456965.5,1212,2456965.5,1347
TX,Edwards,30.2693667,-100.1057,200.0,1.0,Lightning,2455803.5,1300,2455806.5,2000
UT,San Juan,38.28911,-109.20819,0.1,1.0,Lightning,2456492.5,0824,2456492.5,1210
NY,SUFFOLK,40.993,-72.529,2.25,9.0,Miscellaneous,2456042.5,1057,2456042.5,1113
GA,241,34.85722222,-83.38111111,0.5,9.0,Miscellaneous,2454504.5,1300,2454504.5,1400
MI,MENOMINEE,45.67232,-87.58592,3.5,13.0,Missing/Undefined,2456410.5,1400,2456410.5,1540
NC,Harnett,35.48995,-78.77953333,2.5,13.0,Missing/Undefined,2455619.5,1511,2455619.5,1600
ME,Aroostook,46.126861,-67.802583,0.2,7.0,Arson,2453855.5,0520,2453855.5,1844
NY,ERIE,42.7362,-78.5308,0.1,9.0,Miscellaneous,2456122.5,1127,2456122.5,1258
WA,Klickitat County,46.05766,-121.28413,0.01,4.0,Campfire,2455058.5,1611,2455061.5,1140
CA,71,34.34527778,-117.48388889,0.25,2.0,Equipment Use,2454660.5,2218,2454660.5,2225
UT,San Juan,37.7025,-109.4868,0.1,1.0,Lightning,2453939.5,1736,2453939.5,2100
NY,ERIE,42.93392102,-78.80211092,0.1,9.0,Miscellaneous,2454984.5,1216,2454984.5,1216
AL,Cherokee,33.978337,-85.502474,26.0,5.0,Debris Burning,2454841.5,0535,2454841.5,1010
CA,RIVERSIDE,33.569217,-116.1544,0.1,13.0,Missing/Undefined,2456672.5,1606,2456672.5,1621
NC,Columbus,34.32666666,-78.86,0.3,5.0,Debris Burning,2456752.5,1750,2456752.5,1850
NY,ALBANY,42.56644946,-73.92837291,1.74,9.0,Miscellaneous,2454578.5,1624,2454578.5,1624
NY,ST LAWRENCE,44.57248757,-75.64682573,0.1,7.0,Arson,2453852.5,1514,2453852.5,1514
AZ,013,33.58055556,-111.49583333,0.1,4.0,Campfire,2456604.5,1250,2456604.5,1301
NM,027,33.41972222,-105.82972222,40000.0,1.0,Lightning,2456082.5,1200,2456138.5,1000
AZ,005,35.0861111,-111.7425,0.1,1.0,Lightning,2455395.5,1450,2455395.5,1800
NV,Elko,41.4617,-116.1703,14.3,1.0,Lightning,2456526.5,1711,2456527.5,1107
GA,Dade                ,34.79135556,-85.54660278,0.5,5.0,Debris Burning,2456712.5,1744,2456712.5,1848
AL,Escambia,31.019801,-87.318685,12.0,7.0,Arson,2453749.5,1235,2453749.5,1429
ID,37,44.34166667,-114.73222222,0.1,1.0,Lightning,2454685.5,1757,2454685.5,2100
OR,Lane,43.89944444,-122.13333333,0.1,1.0,Lightning,2456852.5,1430,2456853.5,1830
NY,ORANGE,41.5237,-74.0705,0.1,9.0,Miscellaneous,2457272.5,1637,2457272.5,1656
NY,ONTARIO,42.8978686,-76.96338546,0.5,9.0,Miscellaneous,2454966.5,1356,2454966.5,1356
MN,Becker,46.92112924,-95.25593696,0.1,11.0,Powerline,2456950.5,1645,2456950.5,1700
WY,Fremont,42.6675,-108.5023,0.1,1.0,Lightning,2453536.5,1730,2453537.5,1400
WI,Richland,43.198834,-90.612492,1.0,5.0,Debris Burning,2456193.5,1541,2456193.5,1643
CA,HUMBOLDT,40.241493,-124.119759,7.6,13.0,Missing/Undefined,2457211.5,1454,2457211.5,1725
GA,Appling             ,31.79309313,-82.34543152,0.47,7.0,Arson,2455818.5,0115,2455818.5,0213
WA,45,47.108,-123.0995,0.5,9.0,Miscellaneous,2457195.5,1930,2457220.5,1230
MN,Wadena,46.49762697,-95.15315689,1.0,5.0,Debris Burning,2456007.5,1615,2456007.5,1637
KY,Knox,36.85469,-83.89885,1.0,4.0,Campfire,2454538.5,1515,2454538.5,1515
GA,Richmond            ,33.37375,-82.11638889,3.02,5.0,Debris Burning,2457165.5,1852,2457165.5,2021
WY,Sweetwater,41.1661,-109.3785,1.0,1.0,Lightning,2453225.5,1500,2453227.5,1730
SC,Greenwood County,34.243217,-82.15316,7.5,6.0,Railroad,2456248.5,1223,2456248.5,1428
AR,SHARP,36.13142,-91.36933,3.0,5.0,Debris Burning,2456729.5,1720,2456729.5,2000
CA,BUTTE,39.807783,-121.86255,17.0,5.0,Debris Burning,2456456.5,1134,2456456.5,1830
MN,Kanabec,45.90517431,-93.185674,0.1,7.0,Arson,2456383.5,1937,2456383.5,2000
CA,Lassen,40.455417,-120.528983,0.1,2.0,Equipment Use,2454351.5,1638,2454351.5,1729
NY,ROCKLAND,41.13340071,-73.99127872,0.1,9.0,Miscellaneous,2453810.5,1739,2453810.5,1739
NY,QUEENS,40.7938,-73.8125,0.1,9.0,Miscellaneous,2457369.5,1631,2457369.5,1653
CA,93,41.92944444,-122.89638889,0.1,9.0,Miscellaneous,2454691.5,1030,2454691.5,1500
NY,ERIE,42.90135264,-78.68377831,0.1,9.0,Miscellaneous,2453508.5,1455,2453508.5,1455
GA,Ben Hill            ,31.68489444,-83.14731944,6.24,5.0,Debris Burning,2457206.5,1841,2457206.5,1943
TX,Presidio,30.3501125,-104.13242722,940.0,9.0,Miscellaneous,2454990.5,1300,2454990.5,2000
TX,471,30.5675,-95.535,2.0,5.0,Debris Burning,2454164.5,1245,2454164.5,1433
GA,Stewart,32.06736111,-84.86680556,0.6,5.0,Debris Burning,2456399.5,1132,2456399.5,1250
FL,St. Lucie,27.2391,-80.5447,56.0,1.0,Lightning,2455710.5,1615,2455710.5,2057
AL,Marion,34.138043,-88.153645,15.0,7.0,Arson,2453059.5,1410,2453059.5,1603
AL,Baldwin,30.304771,-87.640995,1.0,7.0,Arson,2454087.5,1511,2454087.5,1540
NY,DUTCHESS,42.00004164,-73.77386779,0.5,7.0,Arson,2453822.5,1449,2453822.5,1449
FL,Lee,26.6138,-82.0152,3.0,8.0,Children,2455981.5,1730,2455981.5,1905
NC,Haywood,35.68473333,-83.01001667,5.0,5.0,Debris Burning,2456367.5,1155,2456367.5,1400
MT,75,45.62,-105.86333333,4.0,1.0,Lightning,2454666.5,1530,2454668.5,1800
WV,Logan,37.70174479,-81.76751182,23.0,5.0,Debris Burning,2456771.5,1400,2456771.5,2200
CO,Rio Blanco,40.1799,-107.9319,0.1,1.0,Lightning,2456514.5,1521,2456514.5,1945
MN,Hubbard,47.29033009,-95.05132955,1.5,2.0,Equipment Use,2456422.5,1001,2456422.5,1003
CA,Nevada,39.113803,-121.109908,0.1,9.0,Miscellaneous,2453532.5,1834,2453532.5,1843
FL,Duval,30.1468,-81.547,10.0,1.0,Lightning,2457164.5,1905,2457164.5,2110
NC,Transylvania,35.30428333,-82.67461667,0.1,8.0,Children,2455970.5,1509,2455970.5,1530
NY,CLINTON,44.81701239,-73.5273211,0.38,5.0,Debris Burning,2454982.5,1448,2454982.5,1448
ID,Ada,43.26238,-116.15353,8.0,2.0,Equipment Use,2456885.5,1240,2456885.5,1920
NY,SULLIVAN,41.76810623,-75.05723717,0.1,9.0,Miscellaneous,2453336.5,1508,2453336.5,1508
NM,Lincoln,33.5068,-105.2011,6.0,5.0,Debris Burning,2454876.5,1513,2454876.5,1513
NC,89,35.21361111,-82.77777778,0.1,9.0,Miscellaneous,2453801.5,1600,2453801.5,1700
AL,Lauderdale,34.4946175,-87.2034888,3.0,7.0,Arson,2455866.5,0819,2455866.5,1720
NM,Rio Arriba,36.8508,-107.5226,0.1,1.0,Lightning,2453524.5,1432,2453524.5,1630
CA,TEHAMA,40.293117,-122.279,0.5,13.0,Missing/Undefined,2456789.5,0631,2456789.5,0650
UT,Juab,39.35314,-111.92695,0.1,1.0,Lightning,2453185.5,1849,2453185.5,2100
WA,047,48.1975,-120.98388889,7.0,4.0,Campfire,2456580.5,1230,2456580.5,1400
NM,Rio Arriba,36.69633,-107.58094,0.1,1.0,Lightning,2456848.5,1043,2456855.5,0832
WI,Iowa,43.08432,-90.18605,0.25,9.0,Miscellaneous,2454932.5,1533,2454932.5,1533
OK,Adair,35.64455001,-94.63764998,28.0,7.0,Arson,2455256.5,1605,2455256.5,1605
MN,61,47.32611111,-93.93833333,0.4,8.0,Children,2453119.5,2010,2453119.5,2030
CA,83,34.96083333,-120.12444444,173.0,1.0,Lightning,2454693.5,0605,2454697.5,1800
GA,Coweta              ,33.43177778,-84.66071111,0.5,5.0,Debris Burning,2456976.5,1256,2456976.5,1420
UT,Juab,39.84097,-112.16158,0.1,13.0,Missing/Undefined,2456465.5,1530,2456465.5,1700
ID,13,43.88277778,-114.72083333,0.1,1.0,Lightning,2454254.5,1527,2454254.5,1900
OR,35,43.34638889,-121.77944444,0.1,9.0,Miscellaneous,2454375.5,1218,2454375.5,1420
CA,RIVERSIDE,33.923667,-117.591517,1.0,13.0,Missing/Undefined,2456812.5,1033,2456812.5,1058
MN,Norman,47.46212192,-96.28751626,299.0,5.0,Debris Burning,2457123.5,1400,2457123.5,1800
GA,Warren              ,33.40346567,-82.69140481,25.3,5.0,Debris Burning,2455613.5,1425,2455613.5,1612
MS,MARSHALL,34.62800686,-89.32808005,6.0,9.0,Miscellaneous,2456112.5,1540,2456112.5,1804
MI,165,44.19361111,-85.65805556,0.5,5.0,Debris Burning,2453618.5,1435,2453618.5,1530
AR,NEWTON,36.09036,-93.34353,1.0,7.0,Arson,2456227.5,1238,2456227.5,1324
OR,Coos,43.2658,-123.8228,0.1,5.0,Debris Burning,2456058.5,1200,2456058.5,1230
AL,Mobile,30.552969,-88.149252,3.0,5.0,Debris Burning,2453998.5,2100,2453999.5,0130
FL,Levy,29.2797,-82.9131,1.0,1.0,Lightning,2455409.5,1154,2455409.5,1154
MI,CHEBOYGAN,45.37453,-84.71355,0.1,4.0,Campfire,2456071.5,1357,2456071.5,1420
MO,Laclede,37.806389,-92.786667,688.0,13.0,Missing/Undefined,2454904.5,0800,2454905.5,0045
AL,Chilton,32.756702,-86.854582,0.25,5.0,Debris Burning,2455016.5,2050,2455016.5,2210
AZ,007,34.24027778,-111.30638889,0.1,9.0,Miscellaneous,2456053.5,1050,2456053.5,1200
SC,Fairfield County,34.312885,-81.233711,0.1,5.0,Debris Burning,2456292.5,1905,2456292.5,1935
NY,SUFFOLK,40.75022199,-73.00180204,0.1,9.0,Miscellaneous,2453933.5,0618,2453933.5,0618
NC,Guilford,36.07885,-79.55816666,0.1,1.0,Lightning,2455394.5,1338,2455394.5,1443
UT,BOX ELDER,41.721129,-113.356212,2.86,1.0,Lightning,2456859.5,1730,2456860.5,1200
GA,Twiggs              ,32.82173357,-83.4534389,0.53,5.0,Debris Burning,2455562.5,1405,2455562.5,1425
NY,ST LAWRENCE,44.58239375,-75.43896113,0.1,9.0,Miscellaneous,2454750.5,1552,2454750.5,1552
OH,HOCKING,39.573005,-82.422653,4.0,5.0,Debris Burning,2457127.5,1245,2457127.5,1325
GA,Tift                ,31.50589444,-83.49564167,0.84,5.0,Debris Burning,2456742.5,1638,2456742.5,1750
SC,Jasper County,32.515781,-81.144547,5.0,5.0,Debris Burning,2455814.5,1641,2455814.5,1824
AZ,003,31.8177778,-109.202222,3401.0,4.0,Campfire,2455342.5,0925,2455379.5,1600
WI,Columbia,43.55851,-89.36234,0.01,11.0,Powerline,2456786.5,1738,2456786.5,1750
CA,SACRAMENTO,38.521111,-121.201944,2.1,2.0,Equipment Use,2456847.5,1400,2456847.5,1418
NC,Moore,35.31996666,-79.48778333,0.2,2.0,Equipment Use,2455321.5,1345,2455321.5,1435
MI,EMMET,45.64735,-84.91359,4.0,4.0,Campfire,2456173.5,1400,2456173.5,1432
KY,Leslie,36.98046,-83.44921,1.0,5.0,Debris Burning,2454574.5,0730,2454574.5,0730
NC,Harnett,35.43983333,-78.69033333,4.0,5.0,Debris Burning,2455264.5,1445,2455264.5,1547
TN,MCNAIRY,35.224117,-88.579433,2.0,9.0,Miscellaneous,2455489.5,1300,2455489.5,1300
FL,Taylor,30.2266,-83.3792,2.0,1.0,Lightning,2457186.5,2025,2457186.5,2321
CA,SONOMA,38.436817,-123.103767,5.0,5.0,Debris Burning,2456598.5,1730,2456603.5,1616
NV,Elko,40.3274,-114.0953,0.1,6.0,Railroad,2455443.5,2137,2455444.5,1513
KY,Clay,37.2652,-83.7948,1.0,5.0,Debris Burning,2457123.5,1220,2457123.5,1400
NY,CATTARAUGUS,42.50952486,-78.39398467,0.1,1.0,Lightning,2454249.5,1738,2454249.5,1738
NC,Columbus,34.315,-78.47333333,2.0,13.0,Missing/Undefined,2455639.5,1210,2455639.5,1300
WA,Kittitas County,47.0383,-120.3036,0.25,9.0,Miscellaneous,2456168.5,1726,2456169.5,0900
NY,SUFFOLK,40.87660754,-73.41562497,0.1,1.0,Lightning,2454741.5,1754,2454741.5,1754
OR,033,42.44083333,-123.68888889,0.1,4.0,Campfire,2456486.5,1430,2456486.5,1545
GA,Rabun               ,34.95130101,-83.36278619,0.29,5.0,Debris Burning,2455637.5,1800,2455637.5,1845
NY,DUTCHESS,41.96532273,-73.83733298,0.1,7.0,Arson,2453720.5,1606,2453720.5,1606
NY,ONTARIO,42.92430024,-77.08628994,0.1,5.0,Debris Burning,2453560.5,2130,2453560.5,2130
UT,005,41.64333333,-111.70916667,0.1,4.0,Campfire,2456484.5,1152,2456484.5,1201
NY,QUEENS,40.66073754,-73.82385099,0.1,9.0,Miscellaneous,2453507.5,1448,2453507.5,1448
CA,NAPA,38.440983,-122.20255,0.5,9.0,Miscellaneous,2456427.5,0515,2456427.5,0532
UT,San Juan,37.7261,-109.6687,0.1,1.0,Lightning,2453202.5,1521,2453202.5,2116
PA,BUTLER,41.02093,-79.86473,10.0,5.0,Debris Burning,2456748.5,1452,2456748.5,1600
CA,63,39.75527778,-120.59166667,0.8,5.0,Debris Burning,2454207.5,0951,2454207.5,1300
NC,Gaston,35.365216,-81.261183,0.8,5.0,Debris Burning,2457097.5,1510,2457097.5,1600
KY,Leslie,37.16198,-83.35407,3.0,5.0,Debris Burning,2454182.5,1815,2454182.5,1815
WA,Skamania County,46.0618,-122.1957,0.25,4.0,Campfire,2456156.5,1700,2456198.5,1452
GA,Montgomery,32.33011111,-82.45563889,0.24,5.0,Debris Burning,2456262.5,1703,2456262.5,1814
AL,Shelby,33.277424,-86.561829,5.0,5.0,Debris Burning,2454473.5,1700,2454473.5,1857
NM,San Miguel,35.7758,-105.6595,0.1,4.0,Campfire,2456825.5,1626,2456825.5,1640
WI,Price,45.41189,-90.3117,0.73,5.0,Debris Burning,2457142.5,1551,2457142.5,1651
NM,51,33.32694444,-107.77305556,2.0,1.0,Lightning,2455050.5,0900,2455050.5,1300
CO,069,40.54194444,-105.60722222,0.1,4.0,Campfire,2457273.5,1518,2457277.5,1419
KY,Jackson,37.55859,-84.1289,2.0,5.0,Debris Burning,2454733.5,1145,2454733.5,1145
NY,ALBANY,42.71219487,-73.80737407,0.1,9.0,Miscellaneous,2453525.5,0020,2453525.5,0020
NC,Henderson,35.22651667,-82.51353333,1.5,5.0,Debris Burning,2456366.5,1510,2456366.5,1541
LA,Natchitoches,32.05312,-93.090247,27.06,13.0,Missing/Undefined,2457288.5,1500,2457288.5,1820
FL,Highlands,27.4232,-81.516,0.1,5.0,Debris Burning,2456992.5,1610,2456992.5,1625
UT,San Juan,37.6656,-109.3823,0.1,1.0,Lightning,2453209.5,1755,2453209.5,2130
WA,7,47.84305556,-120.86277778,0.25,4.0,Campfire,2454282.5,1120,2454283.5,1055
CO,Mesa,39.3667,-108.3058,0.1,1.0,Lightning,2453589.5,1604,2453589.5,2026
OR,39,43.84194444,-122.61583333,0.1,4.0,Campfire,2455095.5,1240,2455095.5,1500
OR,Crook,44.3779,-121.097,0.1,1.0,Lightning,2453604.5,1700,2453606.5,1400
NV,Elko,40.8167,-114.1817,0.1,2.0,Equipment Use,2455471.5,1224,2455471.5,1408
UT,San Juan,37.5847,-109.5164,0.1,4.0,Campfire,2456760.5,1430,2456760.5,1730
TX,Bowie,33.52158333,-94.66663333,4.0,9.0,Miscellaneous,2457290.5,1511,2457290.5,1733
NV,Clark,36.0744,-115.5386,0.1,1.0,Lightning,2455747.5,1319,2455747.5,1830
MT,53,48.90166667,-114.93944444,0.1,1.0,Lightning,2454344.5,2030,2454345.5,1700
AL,Walker,33.722728,-87.13658,7.0,7.0,Arson,2454739.5,1539,2454739.5,2047
MI,069,44.4886111,-83.8197222,0.2,9.0,Miscellaneous,2455286.5,1420,2455286.5,1440
CA,Siskiyou,41.603378,-122.959561,0.5,2.0,Equipment Use,2453657.5,2055,2453657.5,2055
CA,3,38.5975,-119.82638889,0.1,1.0,Lightning,2453924.5,1830,2453929.5,1800
UT,Uintah,40.5288,-109.6107,6.0,1.0,Lightning,2453225.5,1116,2453226.5,1815
NC,Davie,36.04381666,-80.52803333,0.2,5.0,Debris Burning,2456756.5,1558,2456756.5,1615
CA,017,38.80138889,-120.0475,0.1,1.0,Lightning,2456496.5,1722,2456496.5,1900
OR,Harney,43.8018,-119.345,0.3,1.0,Lightning,2453954.5,1858,2453955.5,1230
CA,MADERA,37.003817,-120.104233,0.1,13.0,Missing/Undefined,2456812.5,1909,2456812.5,1923
KS,Lyon,38.35,-96.28,0.01,5.0,Debris Burning,2457298.5,1958,2457298.5,2140
TX,Henderson,32.26816667,-96.2055,19.0,9.0,Miscellaneous,2455790.5,1554,2455790.5,1953
NM,35,32.86472222,-105.74166667,0.1,1.0,Lightning,2453910.5,1700,2453910.5,1838
GA,Montgomery,32.18511111,-82.59836111,0.02,5.0,Debris Burning,2456271.5,1442,2456271.5,1505
NC,39,35.13472222,-84.11194444,0.25,5.0,Debris Burning,2454171.5,1440,2454171.5,1900
MS,TISHOMINGO,34.86704172,-88.31966857,3.0,1.0,Lightning,2456843.5,2250,2456844.5,0055
NY,ERIE,42.98078203,-78.82111795,1.5,1.0,Lightning,2453124.5,1432,2453124.5,1432
TN,HARDIN,35.263717,-88.16275,14.0,5.0,Debris Burning,2457314.5,1350,2457314.5,1445
NC,Anson,34.88596667,-79.94525,0.4,13.0,Missing/Undefined,2455660.5,1410,2455660.5,1435
ME,KENNEBEC,44.143694,-70.008917,0.25,2.0,Equipment Use,2456388.5,1108,2456388.5,1123
AL,Wilcox,31.983623,-87.33989,3.1,8.0,Children,2453554.5,1710,2453554.5,1736
NM,Eddy,32.5275,-103.8472,0.1,2.0,Equipment Use,2455165.5,1219,2455165.5,1402
ID,Jerome,42.6314,-114.5139,0.2,4.0,Campfire,2454265.5,1141,2454265.5,1500
NC,Onslow,34.71481667,-77.4904,0.5,5.0,Debris Burning,2455983.5,1443,2455983.5,1457
CA,65,33.78166667,-116.90138889,5.0,9.0,Miscellaneous,2453977.5,1510,2453977.5,1700
TX,Jasper,30.419,-93.97738333,1.0,11.0,Powerline,2456032.5,1309,2456032.5,1435
AZ,Yuma,32.4995,-114.7947,0.3,13.0,Missing/Undefined,2453197.5,1335,2453197.5,1335
GA,Jones,32.920225,-83.393775,0.03,5.0,Debris Burning,2456388.5,1625,2456388.5,1757
NY,WESTCHESTER,41.31402483,-73.69199584,0.1,3.0,Smoking,2453604.5,1539,2453604.5,1539
NY,HAMILTON,43.62932,-74.29859,0.1,3.0,Smoking,2454616.5,1000,2454623.5,1000
CA,93,41.81472222,-123.47027778,0.1,1.0,Lightning,2454646.5,1100,2454646.5,2200
CA,STANISLAUS,37.69315,-120.470233,5.7,13.0,Missing/Undefined,2456507.5,1929,2456507.5,2137
CO,Moffat,40.528,-107.9873,0.1,1.0,Lightning,2455412.5,1134,2455413.5,1245
KY,Martin,37.8583,-82.50743,1.0,5.0,Debris Burning,2454185.5,1645,2454185.5,1645
AZ,23,31.40916667,-111.05444444,0.25,4.0,Campfire,2453744.5,1011,2453744.5,1200
FL,Charlotte,27.0273,-82.2442,1.5,9.0,Miscellaneous,2455641.5,1426,2455641.5,1523
OR,Deschutes,44.125,-121.1569,0.1,1.0,Lightning,2453919.5,2337,2453920.5,1300
CA,TEHAMA,39.98675,-122.2687,5.5,2.0,Equipment Use,2456806.5,1552,2456806.5,1623
OR,1,45.09611111,-118.14166667,0.1,4.0,Campfire,2454715.5,1248,2454715.5,1702
ID,085,44.24138889,-115.98555556,0.01,1.0,Lightning,2456534.5,1030,2456534.5,1700
NY,JEFFERSON,44.02257479,-76.2413955,0.67,7.0,Arson,2453855.5,1134,2453855.5,1134
