Date,Region,Place,Trigger,Trigger: additional info,Weak Layer,Depth,Width,Vertical,Aspect,Elevation,Coordinates,Caught,Carried,Buried - Partly,Buried - Fully,Injured,Killed,Accident and Rescue Summary,Terrain Summary,Weather Conditions and History,Comments 1,Comments 2,Comments 3,Comments 4,Depth_Inches,Width_Inches,Vertical_Inches,Elevation_Feet
2/28/2012,Salt Lake,Alexander Basin,Skier,Cornice Triggered,New Snow/Old Snow Interface,"8""",200',600',East,"9,500'","0.000000000000, 0.000000000000",,,,,,,,,,"Kicking cornices along Alexander Basin ridgeline before considering dropping in so to ski out Alexander. Very small cornice kick above intended line onto steep terrain pulled out 20 cm soft slab that propagated widely. As there was some hangfire, I chose not to venture out onto the bed surface very far, yet in the starting zone the weak layer was the new snow/old snow interface. SS-ASc-R3-D2",,,,8.0,2400.0,7200.0,9500.0
12/26/2015,Moab,Gold Basin,Natural,,Facets,3',150',900',North,"11,200'","38.452353183754, -109.265174890420",,,,,,,,,,"

Several slides occurred during this cycle, likely during the storm of Dec 25 or wind event of Dec 26. Difficult to tell from a distance if slide was new snow wind slab, or persistent slab down to old snow surface that existed prior to series of storms starting Dec 18. Possibly ran deeper into buried facets. Tukno - Gravel Pit Lanes slide ran to the ground, first of the season. Slide on north face of Tukuhnikivatz was similar to Exxon's slide. 
",,,,36.0,1800.0,10800.0,11200.0
1/25/2017,Salt Lake,Mt Aire,Skier,Unintentionally Triggered,Surface Hoar,"20""",200',200',Northwest,"7,900'","40.722220850222, -111.677205549830",1.0,1.0,,,,,"3 Skiers approached Mt Aire from Lambs Canyon, Wednesday morning January 25. They ascended a North-South running ridge on Mt Aire and experienced at least one collapse in low angle terrain during the approach. They skied an East aspect off the ridge and did not report any collapsing or cracking. They switched to the West side of the ridge on a slope with a NW aspect. Skier 1 descended and continued to the trailhead. Skier 2 triggered the slide, but skier 1 did not know this. Skier 2 was caught and carried approximately 75 feet downhill to some trees but was not buried and not injured. Skier 3 descended to perform a rescue.

Skier 2 was ok. Because they did not see skier 1, they assumed he was buried. They performed a beacon search but did not receive a signal. They reported that Skier 1 had been having some sort of trouble with his beacon this year; therefore, they assumed he was buried but his beacon was not working. At that point, they called 911 to get help. With no beacon signal, Skier's 2 & 3 and began probing areas with a high probability of burial (like the uphill side of trees). They scoured every inch of debris continuing to probe all likely areas. As they worked closer to the toe of the debris, they spotted skier 1's ski tracks which were not obvious. They followed his tracks to the trail head and discovered he was ok. While skiing back to the trail head, another avalanche was triggered on buried surface hoar.

We at the UAC are all very happy no one was injured or killed. We are also very appreciative that members of the party were very open and willing to talk about this incident so that the rest of us can learn and be safer. Avalanches are stressful and confusing events. What is important in this scenario is that they exposed only one person at a time to the avalanche terrain. Despite the confusion, only one person was caught. Skier 2 was lucky to have avoided trauma. Even small avalanches moving slowly can cause serious trauma. Running into a tree a 20 mph (which is slow for an avalanche) can hurt.","Not an obvious place for an avalanche other than slope steepness. It was 36 degrees at the steepest and transitioned to 34 degrees and even lower on the far side of the crown. While this is definitely avalanche terrain, from a skier's perspective it is not very steep and seemingly benign.","A ridge of high pressure with clear skies and cold nights last week created small facets and surface hoar on the snow surface. Surface hoar just like frost on a car windshield except it is very fragile and can easily be destroyed by wind or sunshine. Winds began to increase on Wednesday night (1/18) and into Thursday morning (1/19), before diminishing midday on Thursday. At the Reynolds Peak wind station at 9400 ft, winds blew generally from the S and SSW 10-15 mph with only slightly stronger gusts. A the Parleys Summit weather station at 7000 ft, the strongest winds blew 10 mph gusting to 15 mph from a generally westerly direction. In contrast, winds at 11,000 ft in Little Cottonwood Canyon briefly blew 30 mph gusting to 50 mph from the S.

A weak storm system deposited 3-5"" in the Salt Lake mountains on Thursday. This snow capped and preserved this surface hoar layer on sheltered slopes where it wasn't destroyed by the wind. Snowfall since Thursday contained 1.8 inches of water at the Parleys Summit SNOTEL site at 7500 ft just north of Summit Park and I-80. Snowfall since Thursday contained 2.08 inches of water at the Spruces weather station at 7400 ft in Big Cottonwood Canyon. On the day of the accident, we found 18-26 inches of snow on top of the surface hoar layer which corresponds well to these water numbers.","Photo of surface hoar crystals and the obvious stripe in the snowpit wall.  The blue card was inserted behind the layer to make it more visible for the photo, but it's easy to see in person. HOWEVER, this layer would be very difficult to find by digging with your hand. Using a shovel and making a clean pit wall makes it easy to see.

The snow profile below is from an E aspect.
",,,"The first skier triggered this slide on his way to the trail head. The surface hoar layer was very obvious here as well. This slide was about 400 feet wide and ran only 100 feet. It nearly spans the width of the photo.
 ",20.0,2400.0,2400.0,7900.0
2/26/2022,Uintas,Hoyt Peak,Unknown,,Facets,"10""",100',,Northeast,"10,000'","40.692109167931, -111.197851883540",,,,,,,,,,"Dimensions are rough estimated and trigger is unknown. 
interesting because snow in the trees and the nearby snow surface texture don't indicate any wind effects or loading. Perhaps the new snow has settled enough and bonded enough with itself to become a cohesive slab that could help drive a fracture through the faceted weak snow underneath.
",,,,10.0,1200.0,,10000.0
12/23/2020,Salt Lake,West Willow,Natural,,,,,,Northeast,"9,500'","40.646522085662, -111.598627554480",,,,,,,,,,"We could see this small natural slide looking south from the top of Beartrap Glades. Looks like it occurred yesterday (12/23) or the day before, following the most recent storm. Probably about 5-6"" of new snow failing on the old crust or facets. 
 

Heard and felt minor whumping and collapsing during our tour in Beartrap Fork on NW facing slopes. S/SE have a crust under the new snow. Definitely spicy out there. 
",,,,,,,9500.0
12/15/2022,Salt Lake,Snake Creek,Natural,,,,,,East,"9,200'","40.583094343032, -111.534404741850",,,,,,,,,,"Was in the area yesterday and today and did not see this yesterday, so I assume this occurred either overnight or sometime this morning as a result of wind loading. Estimate is that this is 1-2' deep. Clearly touchy out there! 

touchy.

 

Over the years, I've seen cornices build up on this ridge, but I've never seen it slide like this with the length of the runout.
",,,,,,,9200.0
1/10/2016,Salt Lake,Two Dogs,Skier,,Facets,"13""",,,Northeast,"10,200'","40.600125647922, -111.643015075800",,,,,,,,,,"There was another skier triggered slide just opposite the high point of Flagstaff shoulder. It was late in the day and the light was poor for photos.
",,,,13.0,,,10200.0
12/20/2009,Salt Lake,Days Headwall,Skier,Intentionally Triggered,Facets,2.5',50',150',North,"10,100'","40.599845000000, -111.643667000000",,,,,,,,,,Intentionally triggered by cornice drop.,,,,30.0,600.0,1800.0,10100.0
12/6/2019,Salt Lake,Sunset Peak,Unknown,,Facets,,,,North,"10,200'",,,,,,,,,,,"Travels today took us from the Brighton Base area, up the Dog Lake ridge, and into Martha Bowl area. Coverage is quite impressive and allows for moving around without much fear of hitting rocks or stumps. 

 

During our ascent, we experienced one localized collapse on an East facing slope at 9500'. We noted widespread Surface Hoar development. Cold in the shade but quite warm in the sun. Calm winds and clear skies. No Smog noted up here.

 

As we reached the top of our ski run, we noticed what looked to be two fresh avalanches mid-slope on Sunset peak. We did not see any tracks within the immediate vicinity that could have triggered these two slab avalanches. They appeared to have been either remotely triggered from several hundred feet away or occurred naturally. 

 

The few inches of dense creamy snow from yesterday (Dec. 5th) skied very well and fast on lower angle slopes. It was great riding! Creamy, hero snow, a little went a long way.  

 








",,,"More info from UDOT LCC Tim Rogers - Observed two recent full depth slides along the bench below Sunset Peak today about mid-day. After climbing to the top of Rocky Point we observed evidence of recent widespread cracking to ground throughout the slope from Rocky Point towards Sunset Peak and well down the slope as well. Unable to see avalanche activity from this vantage but we decided to retreat to Catherine's Pass and descend towards Brighton. While traversing towards the lake we observed these two slides that appeared to be recent with no evidence of new snow or wind loading on the bed surface or debris. Possible that these pieces released naturally sometime last night or earlier today, also possible that they were triggered remotely by skier traffic along the ridge as there was evidence of several parties having spent some time around Rocky Point but no skier traffic into the area.",,,,10200.0
1/14/2014,Ogden,Farmington Canyon,Snowmobiler,Unintentionally Triggered,Facets,4',100',300',East,"10,000'","40.964863000000, -111.803741000000",1.0,,,,,,,,,"Around 2PM a snowmobiler triggered a fairly large avalanche that he and the three riders below managed to escape.  In the first picture of the bigger slide, a snowmobiler was side-hilling at mid elevation on a hill.  On the left side of the slide you can see his tracks coming out of it.  He caused a lower slab to go which started small but then the lower slab caused all of the upper to go including the cornice.  We observed other large bowls with no snowmobile tracks in or out that had gone. This was only one of multiple avalanches we either triggered or observed. The 2nd and 3rd picture is an avalanche that ww triggered remotely from our snowmobiles. We were riding around 40 yards from where the slide actually occurred.  That one slid down to the weeds and covered the trail we had just ridden in on with about 7ft of snow.  Some occurred naturally and others from snowmobiles.  Both obvious and non obvious hills were sliding down to the dirt. In both cases I think the wind was a major factor in that the cornices were huge and the wind had blown large amounts of unstable snow below those cornices.  I believe that the first picture of the bigger slide is the tallest peak in that range so I'm guessing around 10k ft. In all cases we observed the slides went from the ridgeline all the way down. 
 In 20 years of snowmobiling it is by far the worst avalanche conditions I've ever witnessed. Extreme caution should be used in the Farmington area.",,,,48.0,1200.0,3600.0,10000.0
12/21/2014,Salt Lake,White Pine,Skier,Remotely Triggered,,"12""",50',60',,"9,200'",,,,,,,,,,,"Date
12/21/14 - 12:34 PM

Location
40.5521,-111.6758
View in Google Maps
Location Name: tri chute

Snow Conditions
6 inches of high density new snow

Red Flags
High winds, lots of loading on lee side 

 

Avalanche
Depth: 12 inches 
Width: 50 feet
Vertical: 60 feet
Slab Type: soft slab
Weak Layer Type:yesterday's snow
Trigger: natural 
Involvements: 
Comments: remotely triggered smaller pockets above 9000 ft.
",,,,12.0,600.0,720.0,9200.0
4/26/2011,Salt Lake,Scotties Bowl,Skier,,New Snow,"6""",30',200',North,"9,700'","40.563621000000, -111.677141000000",1.0,,,,,,,,,"slope cut showed decent stability on entrance from corniced ridge (they're HUGE), but when slope turned past ~37deg., sluffed out from under me and caused a spill - no injuries or burial, just a stir.  recovered and skied it again ~an hour later with no sluffing (other bc'ers had skied the run, as well), but the wind had filled in all the tracks already...",,,,6.0,360.0,2400.0,9700.0
3/26/2021,Logan,Central Bear River Range,Snowboarder,Intentionally Triggered,New Snow/Old Snow Interface,"16""",50',300',North,"8,800'",,,,,,,,,,,"
We rode in the Central Bear River Range today.  There was 12-16 inches of new snow on top of a solid layer from the warm weather  a couple of weeks ago. North facing slopes were holding dry powder through the day.  
 

We had four separate Soft Slab avalanches release on us today on steep (45 degree) north facing slopes.  These slabs were all confined to narrow chutes and gullies 30-40 feet wide.  All the slabs released as we entered turns and broke 30-50 feet below and around us and were all between 12 to 16 inches deep and ran 2-300 vertical feet.  We were riding in areas with little consequence and no terrain traps and we were expecting the areas to slide and they were pretty easy to outrun.

 

Sorry we didnt take time to get any pictures.  It was pretty bogged in all day.

",,,,16.0,600.0,3600.0,8800.0
11/9/2022,Salt Lake,Park City,Skier,,New Snow/Old Snow Interface,2',40',150',Northeast,"9,600'","40.612455890896, -111.532645481220",,1.0,,,,,,,,"Either a soft slab or 'just a sluff'

In slow motion I saw snow rippling around me, realized it was sluffing and took a quick peek back and saw either a crown or my ski cut, I'm not sure.  Tried to hit the gas but the snow was too deep and too slow.  Got caught and briefly laid out, long enough to consciously make a list of several reasons I made a stupid decision (below), but I did a hand check, caught my feet and started skiing out but then quickly darted back over to where the snow ran ahead of me.  Visibility sucked and I was mad at myself so I took off without pics.  

 

I feel like an idiot so I'm sharing in case it helps even one person avoid my mistakes.  

 

1.  Barely looked at the UAC because I think the forecast was still from yesterday and I didn't even notice

2  Didn't even consider the airbag though I saw some big snow totals 

2.5ish   Didn't call my buddies even though I knew they would also be out, because sometimes I like being alone

3  Heard bombing all the way up, but I was still looking for something high and steep, 'because the storm was warm and the snow is a bit heavy'  

4  Saw clear signs of wind loading

5  Familiarity

6  Time constraint

7  Knew the risk, but was cavalier about my ability to handle it.

 

Made some calls to snow safety and police to notifiy that I was fine and avoid putting others at risk.  Maybe the only good choice I made.  Be careful out there, I like a margin of safety and I got too close or crossed it today.   

 

 
",,,,24.0,480.0,1800.0,9600.0
1/30/2021,Salt Lake,White Pine,,,Facets,,,,,"10,000'","40.541036639012, -111.668901430670",,,,,,,,,,"We observed numerous spectacular natural avalanches in upper White Pine Canyon today. The most most impressive slides were on NW facing Red Baldy and on the E facing terrain between White Baldy and Lake Peak. The slides were between 3 and 6 feet deep or

more and must have failed in persistent weak layers either near the ground or mid-pack, probably sometime overnight or near daybreak on January 30th.
 

We also observed a party of two break a skin track directly across the hangfire above the very large crown on low, N facing Red Baldy pictured in Ron Mason's observation from yesterday, and we observed a skier-triggered slide in steep W facing terrain looker's left of the Tri Chutes. 
 

While there is obviously weak snow within the snowpack on many upper elevation shady slopes, we did find impressive HS over 200 cm in a few places. We did not find any pronounced collapsing or cracking altbough we didn't do much trail-breaking.
",,,,,,,10000.0
3/17/2023,Uintas,Uintas,Natural,,Facets,2.5',100',200',Northeast,"9,200'","40.313354595547, -111.085338579820",,,,,,,,,,"
",,,,30.0,1200.0,2400.0,9200.0
12/13/2022,Logan,Beaver Mountain Backcountry,Snowboarder,Remotely Triggered,Depth Hoar,2',60',100',East,"7,100'","41.953201208357, -111.544876085840",,,,,,,,,,"Reported through a text message.  The picture tells the story.....
",,,,24.0,720.0,1200.0,7100.0
3/28/2016,Salt Lake,Main Days,Skier,Intentionally Triggered,New Snow,"7""",300',600',North,"10,300'","40.604885886813, -111.643112694080",,,,,,,,,,"Ascending the east ridge of Main Days, we stopped to drop in at the first flat ""step"" in the ridge, about 200 ft shy of the ridge intersecting Reed and Benson.  PI rates were pushing 2 in/hr for the preceding two hours prior to our descent.  

On my second ski cut I triggered a storm slab that propagated 10-15 ft uphill (about halfway between the ridge and I), and about 300 ft laterally.  The avalanche ran 500-600 ft. to the beginning of the ""half pipe"" portion of the Main Days slide path.

Most likely attributable to the awesomely high PI rates out there today and possibly some very minor wind loading on northerly aspects.  Served as a good reminder to stay assertive while dealing with new snow instability. 

We checked in with the two other parties skiing from the top of Main Days before exiting to BCC.  Only small point releases and a few roller balls noted lower in the drainage.

Slope angle and elevation are estimates.  Sorry about the lack of photos.  
",,,,7.0,3600.0,7200.0,10300.0
2/12/2021,Salt Lake,East Hellgate,Explosive,Intentionally Triggered,New Snow,,,,Southeast,"9,800'","40.592447773354, -111.650233255940",,,,,,,,,,"D2.5
",,,,,,,9800.0
2/24/2012,Ogden,Whiskey Hill,Snowmobiler,Unintentionally Triggered,Facets,3',300',350',Northeast,"9,000'","41.516354000000, -111.473808000000",1.0,1.0,,1.0,1.0,,"The group did not have avalanche rescue gear, but luckily they kept a close eye on their partner and when the dust settled they went to the last seen point where they saw a helmet visor sticking out of the snow. The group frantically dug with their hands and uncovered their friend who sustained serious leg injuries.",,,"Four friends got together for an annual snowmobile trip. They played on the low angle terrain adjacent to Whiskey Hill without incident. They moved on and decided to start climbing the terrain low on the slope of Whiskey Hill. One rider went higher than the others, about mid slope, when he triggered the avalanche which broke well above him.",,,Trent hikes up the bed surface to investigate the properties of this hard slab avalanche.,36.0,3600.0,4200.0,9000.0
12/20/2013,Uintas,Lake Creek,Snowmobiler,Unintentionally Triggered,Facets,5',200',125',North,"9,700'","40.411600000000, -111.206700000000",1.0,1.0,1.0,,,,,,,"The pictures aren't the greatest... visibility was about 25 feet. This was a snowmobile triggered slide near Tower mountain yesterday. The rider was sidehilling low on the slope when he triggered a massive wind slab breaking on facets near the ground. he was caught, but deployed his air bag and was only buried up to his waist.  
",,,,60.0,2400.0,1500.0,9700.0
1/24/2010,Logan,pull-out east side,Unknown,,Facets,2',150',70',West,"6,800'","41.949437000000, -111.544747000000",,,,,,,,,,"This nice slab avalanche occurred overnight or early in the morning of 1-24-10...  Probably triggered by snowplow...
 ",Large and scary cracks were visible on a slope adjacent to the avalanche...Lots more unstable snow left on these steep west facing slopes above the Scenic Byway,,A much larger slope adjacent to this one just down canyon has a history of piling lots of snow on the road and has not yet released..,24.0,1800.0,840.0,6800.0
11/20/2015,Logan,White Pine Knob,Natural,,Facets,"12""",50',200',North,"8,800'",,,,,,,,,,,"An observer noticed this old avalanche on 11-30-15, (likely from the 11-20 cycle) in Check Your Pants off the northeast ridge of White Pine Knob.
",,,,12.0,600.0,2400.0,8800.0
12/31/2010,Logan,"Mt.Magog, East Bench",Snowboarder,Unintentionally Triggered,Density Change,"8""",40',70',East,"8,200'","41.912785000000, -111.648130000000",,,,,,,,,," Small soft slab avalanche in a windloaded chute near the bottom of magog.  I could feel the slope was sensitive so I ski cut it without results.  2nd turn thru the chute released a small soft slab avalanche.  Fairly small and not very threatening.  
 
The snow was very inconsistent today.  Many pockets of instability",,,,8.0,480.0,840.0,8200.0
2/17/2021,Skyline,Fly Canyon,Natural,,Facets,2.5',200',300',East,"9,700'","39.424696289151, -111.284126746080",,,,,,,,,,"Another odd location for an avalanche.  This one looks like it got gobbled up on a treed bench before it ran very far.
",,,,30.0,2400.0,3600.0,9700.0
3/11/2010,Salt Lake,Hogum,Unknown,Unintentionally Triggered,,,,,Southeast,"9,600'","0.000000000000, 0.000000000000",,,,,,,,,,,,,,,,,9600.0
3/16/2013,Salt Lake,Salt Lake,Natural,,Wet grains,3',,,North,"9,000'",,,,,,,,,,,"This is a general observation listing the numerous slides that were visible from the highway, and active on March 16, 2013. The common elements to all these slides were:
1. All were heat related, and all occurred in the early pm. 2. All areas except the West facing lower Reed and Bensen Glades had north in them. 3. Elevations in the Argenta area and the three Power Plant Chutes ranged from 8600 to 7000. 4. The elevation in the Mid Big Cottonwood Area that had two slides was approximately 9300. 5 All areas were harboring buried facets. 5. All slides appeared to have initiated as Loose Snow Wet Avalanches and immediately stepped down to the buried faceted layers, gouging and entraining significant amounts of snow. 6. All slides deposited possibly unsurvivable debris piles. 7. All slides initiated on slope angles > 35 degrees.
Due to flat light conditions and the far distances from which many of these avalanches could be observed, photos are limited. Direct observation from the highway will continue to provide excellent detailed examinations. 
",,,,36.0,,,9000.0
4/1/2016,Salt Lake,Monte Cristo,Unknown,,New Snow,,,,South,"10,000'","40.588399656046, -111.669631063420",2.0,1.0,,,,,"2nd hand information: Two snowboarders descended Monte Cristo direct at 1030am. At the choke, the first successfully rappelled down and waited for the second to join him below. At that point, a wet loose slide cascaded down upon them from above, pummeling the second who was on rappel while catching and carrying the first over two minor cliffbands. It is not known whether the person on rappel was clipped into the anchor or backed up with an autoblock above or below his rappel device. It is also not known whether the loose sluff was a natural or triggered from above. 

After the avalanche, both were able to make it down to the road unassisted. 

Photos courtesy Stacee at Powderbird",Monte Cristo is a very steep south facing avalanche path just west of Superior on the Cottonwood ridgeline. Its descent is 3100' down to the Little Cottonwood road. ,,,,,,,,,10000.0
4/25/2016,Salt Lake,Emma Ridges,Snowboarder,Intentionally Triggered,New Snow/Old Snow Interface,"8""",20',100',North,"10,000'",,,,,,,,,,,"Snow still being transported this am. Pockety.
Started the morning dealing w wind slab dragons. Took me a bit to shift ",,,,8.0,240.0,1200.0,10000.0
3/11/2021,Salt Lake,Brighton Perimeter,Skier,,,"8""",30',,North,"10,200'","40.581419875780, -111.583279954510",,,,,,,,,,"Traveling in a party of 3 along the ridge line from the top of Crest Lift at Brighton. We noticed shooting cracks as we traversed the ridge, indicating instability in the new snow layer. We agreed that we would ski cut the top of V Tree. Upon arrival, one person in our party prepared to ski cut from left to right, but the entire chute slid before she even began the cut, just from our weight at the top of the slope. The slide was at the new/old snow interface, soft slab, 8-10 inches deep. Ran the length of the chute but terminated at the top of the apron. We skied the line with only small sloughing in the apron.
",,,,8.0,360.0,,21129.25777302073
1/18/2019,Provo,Snake Creek,Natural,,,"20""",80',,Southeast,"9,200'","40.553004582289, -111.564853178580",,,,,,,,,,"This appears to have happened yesterday, at the end of the storm. No tracks were seen around the slide.
",,,,220.1213142576074,960.0,,9200.0
12/10/2009,Moab,Middle Cirque,Natural,,Facets,,60',500',Northwest,"11,800'","38.441921000000, -109.250188000000",,,,,,,,,,Both Cleavers in the Middle cirque ran so there were two of these actually. ,,,,,720.0,6000.0,11800.0
1/28/2023,Salt Lake,Little Water,Skier,,Density Change,"10""",200',,Northeast,"9,600'","40.671988616201, -111.627367591710",,,,,,,,,,"Little water peak/fire water. We tapped the snow and watched the slide propagate across the slope. 8-10"" deep. 200-300' wide. Slow flow down the steep slope. Ran all the way down the slope 500' vertical. 

old crown visible around entire bowl
 
",,,,10.0,2400.0,,9600.0
1/13/2014,Logan,Tony Grove Lake,Natural,,Facets,3',300',175',East,"8,300'","41.896549000000, -111.646056000000",,,,,,,,,,"There were several recent natural avalanches on the west side of Tony Grove Lake....
",,,,36.0,3600.0,2100.0,8300.0
2/14/2021,Salt Lake,Superior,Explosive,Intentionally Triggered,New Snow,,,,Southeast,"9,200'","40.588406730511, -111.658773409430",,,,,,,,,,"D1.5
",,,,,,,9200.0
3/2/2020,Salt Lake,Days Fork,Skier,,,"3""",25',,Southeast,"9,900'","40.603482252672, -111.640555845810",,,,,,,,,,"Intentionally triggered via ski cut. The slope was beginning to warm, and the snow was just starting to get damp. A ski cut yielded a small sluff that gained mass as it moved downhill. The slide moved very slowly, but the debris at the bottom was probably 2 feet deep at its deepest part. 
",,,,3.0,300.0,,9900.0
12/18/2020,Logan,Tony Grove Lake,Unknown,,Facets,"18""",400',200',East,"8,700'",,,,,,,,,,,"Possibly triggered by Snowmobiler. There was one sled track near that climbed part way up the apron. Could have also been remote trigger from us powsurfing around the corner from where it happened. It was not there in the early afternoon when I arrived but noticed it about 1:30. 

 

Forecaster's note: I think you guys remote triggered this from around the corner as I saw the sled tracks in the slope and the rider on the lake prior to the avalanche.  The most northerly pocket was closer to 2' deep and it barely hit the lake....
",,,"Crown looked to be about 12-16"" possibly. I didn't get up super close to measure. Didn't run all the way to the lake in most sections as I would have expected. ",18.0,4800.0,2400.0,8700.0
3/19/2022,Logan,Franklin Basin,Snowboarder,Unintentionally Triggered,Facets,2',150',500',Northeast,"9,200'",,,,,,,,,,,"
We got a little surprise today in the backcountry. After 12ish runs on this northeast facing slope at about 9200' we finally hit the sweet spot a triggered a small wind slab that was 6-12"" deep. It ended up popping out about 40' wide and ran 400 vert. I was spotting Eric and immediately radioed him and he easily avoided the debris.
I followed Eric but dropped the ridge in a slightly mellower spot to the south so I could get a better look at the slide.  On the next lap I again was spotter from the peak.  Eric dropped in just south of my previous line. He was 6 or 7 turns in when the rest of the wind slab released. Luckily I was immediately on the radio and he strait lined it out of there. This second slab was much bigger and scarier.  In total, the slab was somewhere in the neighborhood of 120' wide. The crown, at the deepest, was about 24"". This one ran 500 vertical feet and piled up 4-5' deep at the bottom. 
We both thought that the initial slide was enough to release the energy from the slope and weren't too concerned about another.  
We later noticed a previously buried rock band that probably harbored the offending weak spot that made our day exciting.
What we learned....
1. Always, always have a spotter. Probably saved Eric's bacon today.
2. Pay attention to those stiff wind slabs. Even though I jumped on it as hard as possible while traversing the ridge, it was stiff enough to hang on until Eric hit the trigger.
3. Even though you haven't seen anything for many days, that stinking persistent weak layer is probably still lurking...and it's a turd that wants to kill you.
4. Always plan your escape. I was able to direct Eric with my radio yells, to his safest zone.
5. Always make sure the slope is cleared before the next rider drops in.

This one definitely woke us up. Glad we ended up safe for another day 

",,,Actually two avalanches....,24.0,1800.0,6000.0,9200.0
