Date,;Region,Place,;Trigger,;Weak Layer,Depth_inches,Width_inches,Vertical_inches,;Aspect,Elevation_feet,Coordinates,Comments 1
12/21/2012,Skyline,Lake Canyon,Snowmobiler,Ground Interface,42.0,9600.0,7200.0,Northeast,10200.0,"39.571028000000, -111.285968000000","Group of sledders remotely triggered this large hard slab from flat terrain hundreds of feet away. Super sketchy snpowpack on the Skyline.

Darce took a great series of pictures of the slope before and after the slide.
"
12/22/2012,Uintas,Moffit Basin,Snowmobiler,Facets,36.0,6000.0,3600.0,Northeast,10400.0,"40.838132000000, -111.014614000000","Triggered low on the slope and breaking into weak snow near the rocks on a steep, breakover. Images are before and after the slide.
"
12/22/2012,Uintas,Duchesne Ridge,Snowmobiler,Facets,36.0,1800.0,1200.0,Northeast,9500.0,"40.469698000000, -111.098557000000","Triggered midslope
"
12/23/2012,Salt Lake,Cardiff Fork,Unknown,New Snow/Old Snow Interface,54.0,420.0,1800.0,West,9700.0,"40.604635000000, -111.648259000000","We possibly triggered this slide remotely from approximately 200 meters downslope, but are unsure of the trigger as we only experienced a single significant event of cracking and collapsing and did not see it run. When we saw it above us a couple minutes later, it was obviously quite fresh.

Upslope winds transported snow from the lower angle meadows below into the bottom of a minor chute between the Hallway Couloir and Holy Toledo. The initial release also triggered a slide on a rock slab to skiers right, which pulled out to the ground. The avalanche ran about 150 vertical feet into trees, with several barrel sized blocks still intact. The instability seemed relatively isolated to the bottom of the chute and the slope below, where extensive hollow hard slabs are sitting on large faceted grains. The remainder of this west facing area did not appear to be heavily  loaded and exhibited acceptable stability. 

Unfortunately, between the hollow windslab and the fading light, I was unable to get a good photo. "
12/27/2012,Salt Lake,Cinder Chutes,Skier,New Snow,12.0,360.0,6000.0,East,9400.0,"40.671102000000, -111.599936000000","I ski cut the first chute and was able to get the skier's right side to rip out about 30 feet wide and a foot deep.  The fracture wrapped around the nose feature and may have propagated into the 2nd chute.  The second chute ran as well but I didn't have good eyes on it when I was watching the first chute run so I am not sure if it had already run.  The snow ran all the way to the bottom into the aspens.  When I ski cut the 3rd chute the snow broke down to 1.5 - 2 feet deep and ran quite quickly through the aspens at the bottom.  This slide was only about 25 feet wide but without an exit a skier would have been strained.  Cider Chutes has been repeating all year long.  It seems where old slides have previously occurred this year, new snow is not sticking.  That said Dutch Draw, North Bowl, Sound of Music trees and McDonald, all sites of previous slides on the PC ridgeline, are likely very suspect and should probably be avoided until proven otherwise.
Sorry no pics.  I tried for about 20 minutes but the visibility went south by the time I got an angle on the slope for a pic.
"
12/27/2012,Salt Lake,Days Fork,Skier,Density Change,14.0,720.0,6000.0,Northeast,10400.0,"40.604928000000, -111.642766000000","Buried wind slabs along exposed N, E, and W aspect ridgelines were sensitive to slope cuts and cornice stomping.  We triggered several along on our tour and noticed some commonalities that helped us manage the hazard. Each fracture initiated in the wind-exposed first few feet below upper-elevation ridgetops and only propagated below ski cuts. Though the slabs were on the small side, they were fast-running and entrained unconsolidated snow as they moved.  
I wouldn't want to be below one that was cut loose by someone else, but with good route selection and thoughtful slope cuts the hazard felt manageable to our experienced party. 
"
12/28/2012,Salt Lake,Gobblers Knob,Skier,Facets,24.0,2100.0,5400.0,Northwest,9500.0,"40.668146000000, -111.689994000000","Triggered by another party, did not talk to them.
Snow involved took out the last 2 storms.
This area rolls a bit steeper than where the tracks to the skiers left are.  tracks are after the fact, our party skied before we knew the slide had occurred, could not see from the entry from the ridge.  1st skier in our party skied past the debris, 2nd skier saw that the 1st was not involved.  Remaining 3 skiers went after we conformed that no-one was caught.  I double checked this with a stop and visual search from the crown and saw that no tracks were coming or going into the slide area.
Slide was heard by a solo skier approaching from porter fork.  solo skier reported that one person may have been hit by the dust cloud (unconfirmed).
triggered remotely from approximately 150' away. - one can see the ski tracks looker's left of the crown -
tracks adjacent to slide on both sides were after the fact.  no tracks entering the slide.  Hopefully the responsible party will submit more information.  triggered by a party skiing to the skiers right of the slide.
Occurred after many parties have skied in the area.  Did not investigate the crown, too much hangfire.  Stopped only long enough to ascertain that no one was caught. 
We did an ECT test on the flank at about 1/3 height.  No indications of instabilities.  ECT was negative.  
 
Note:
If this was not triggered by another party, it could have easily been triggered later in the day by my party. I began to initiate a rescue until I saw the 2nd skier in my party skiing next to the debris.  He was able to determine that it was not triggred by the 1st skier without missing a turn.
We did not observe any signs of instability before the slide.
 
 
"
12/26/2012,Skyline,GE Hill,Natural,Facets,24.0,2400.0,1200.0,North,9600.0,"39.631341000000, -111.331329000000","This most likely released late during the storm, this area is an extended ridge that is very rocky, steep, and on the leading windward edge of the summit ridge, a usual suspect, and does repeat.  Visibility was limited up high, we just happens to spot this on a ride over to clear the interval board and got a break in the clouds.   We did not see any other activity, but a natural cycle has likely occurred, 
"
12/28/2012,Salt Lake,Lacawaxan,Snowboarder,New Snow/Old Snow Interface,12.0,1200.0,3600.0,East,10500.0,"40.592301000000, -111.560529000000","Broke out above him on the ski cut was ableto get onto the next small ridge, propagated across subridge and entrained quite a bit of snow down the face.
"
12/27/2012,Provo,Box Elder,Natural,Facets,30.0,960.0,2400.0,Northwest,10000.0,"40.492824000000, -111.700938000000","Spotted this avalanche yesterday that looks to be on the facet/crust combo, although is on the high end of the elevation band for this weakness. A few days old, but still noteworthy.
Also numerous loose snow sluffs off the steep E side of the mountain, with no noticeable slabs.
Average HS at 8400ft. in the area was 150cm."
12/29/2012,Ogden,Cutler Ridge,Natural,New Snow,24.0,600.0,1200.0,East,7500.0,"41.374200000000, -111.940491000000","We came across this small slide on our exit from Cutler Ridge.  It kind of surprised us.  There were no visible tracks entering or leaving the debris, so I assume it released naturally from a cornice fall.  I suspect it was overloaded by the same winds on Saturday afternoon that affected some other areas of the Ogden Mountains.
Other than this slide, there were no other signs on instability.  We did not travel through other areas that had received significant wind loading.
The snow surface is facetting on all aspects with the continued cold temperatures.  Recent surface hoar was observed at lower elevations, growing on tree and bush branches.
"
1/1/2013,Salt Lake,Pt. Supreme,Skier,Density Change,12.0,480.0,1200.0,Southeast,10400.0,"40.577260000000, -111.598949000000",Touring the Alta Boundary. This was triggered 5-6 ft from the cornice edge without much of a stomp. Heavily wind loaded. My what a difference a day can make with a little snow transporting.
1/2/2013,Salt Lake,Shale Shot,Skier,Unknown,12.0,600.0,2400.0,North,9000.0,"40.681224000000, -111.595559000000","Was exiting from the PC ridgeline off of Pointy Peak or Desperado, and came across this slide. Was located on the ridge the continues past Sun Peak Chairlift. Was not sure on when this happened, could have been yesterday or earlier in the day today. Did a beacon check on the debris pile and found no signal. There was a ski track down the debris field, which led me to believe that the skier who triggered this slide was ok. This shot is steep, pushing 40 degrees I believe. Pictures taken from the bottom, any other information unknown, but my guess is that this went on one of the rain/wind crusts that have formed."
1/9/2013,Salt Lake,Lewis Peak,Snowmobiler,Facets,36.0,1200.0,2400.0,North,9200.0,"40.854332000000, -111.479645000000","Snowmobiler was ascending the slope and hit an area just below the cornice where he stated he thought he hit ""a void"" and started loosing traction so he accelerated and felt himself hitting the top of the cornice. Snowmobiler did not realize he had touched off an avalanche until he looked back at the slope from the top of Lewis Peak. Avalanche left about a 3 foot wall at the top and moved relatively slowly. I was able to see it coming and move uphill out of it's path and take the attached picture. We know this slope wind loads and has avalanched in the past but it was a bit surprising in that it has been some time since we had fresh snow. All riders had airbags, beacons, shovels and probes in their possession and have taken training classes."
1/9/2013,Logan,Providence Quarry,Natural,Wet grains,10.0,480.0,3600.0,South,6800.0,"41.690604000000, -111.742887000000","We took a long ride in Providence Canyon searching for the site of an avalanche incident involving riders from Wednesday.  We rode all over upper Providence Canyon, attained views of the Rodeo Grounds, the steep east and north faces of Providence Peak and the north facing bowls and slide paths off Long Mountain or Millville Peak, and we did not see any evidence of avalanche activity other than a few loose wet sluffs down low and across from the Quarry.
Here's a photo of one that came down to the trail off the south facing north side of the canyon.
"
1/11/2013,Salt Lake,Alexander Basin,Skier,Facets,18.0,600.0,6000.0,Northeast,9300.0,"40.677058000000, -111.682720000000","First skier triggered 1st slide unintentionally.  Slide broke above skier mid-slope and washed around him due to very soft nature of slab.  First skier skied to bottom of the path and waited in a safe spot.
Second skier skied down slope, uncertain if first skier had triggered a slide (visibility was nil) but was aware that 1st skier was in a safe spot.  Second skier got to about mid-slope and stopped, noticing a crown.  While stopping at the crown a secondary slide was initiated above the 1st slide.  Again very soft slab that washed around second skier.
Remaining skiers stopped above crown and confirmed that the weak layer was facets below a rime crust.  Debris deep enough to bury a person- size 2.
Of note- although there was intense wind loading at the ridge, there was no wind loading at present or previous mid-slope where slide was triggered."
1/12/2013,Salt Lake,West Willow,Skier,Density Change,12.0,360.0,720.0,Northeast,9200.0,"40.643364000000, -111.595044000000","Remotely trigered two soft slabs while walking up West Willow Ridge.  Both slides appeared to be at the new/old snow interface; but did not investigate.  The first slide was accompanied with a very large womph.  The entire slope appeared to settle.  The actual slide was pretty small.

FORECASTER NOTE:  This sounds suspiciously like the early January facets are the culprit here.  It has the right aspect and elevation to have preserved weak snow just under the new snow.  The ""whoomph"" also OFTEN accompanies the collapse of a persistent faceted weak layer.  Kobernik"
1/12/2013,Salt Lake,Mt Aire,Skier,Facets,18.0,1200.0,8400.0,Northeast,7900.0,"40.721235000000, -111.677012000000","Remotely triggered from the ridgeline.  Party had felt numerous collapses and observed shooting cracks while climbing the ridgeline.  Weak interface of 1st week of January faceted snow just beneath the 9tjh/10th prefrontal southwesterly wind slab (3"")...now buried under 16-20"" storm snow.  Key -  in my opinion -  that the suspect areas saw some wind drifting prior to the storm.  
	 
"
1/12/2013,Salt Lake,Broads Fork,Natural,Depth Hoar,24.0,3600.0,9600.0,Northeast,10300.0,"40.596326000000, -111.719799000000","Hiked into Broads & found a large natural avalanche on the apron below Diving Board. Looked to have started off the rock slabs above the apron. Initial width of the crown looked to be 30-40ft. Slide propagated on the apron to close to a football field wide. & ran almost full track. Timing is uncertain, but may have happened overnight. There was a dusting of new snow on the debris. Having a safe way up, we decided to ski the side of the side. Poking around on the way up it seemed the bed surface was the rain crust or possible wind crust. Skiing down, it was apparent the rest of the apron had slid in the past as there was buried debris. Slow mo snow due to very cold temps."
