Vertical_inches,Depth_inches,Width_inches,Comments 1,Coordinates,Elevation_feet,Aspect,Weak Layer,Trigger,Place,Region,Date,OG
3600.0,30.0,1800,"

 

 





Andy and Joey noted multiple avalanches, both natural and human triggered, breaking to old snow from the south half of the range. 
","40.462466653278, -111.130292402890",9800.0,East,Facets,Natural,Mill Hollow/Duchesne Ridge,Uintas,2022-12-03,True
1200.0,20.0,960,"Just poking around on the Skyline Drive a little bit today.  I came to a location that had steep slopes above the road.  I didn't want to go underneath them and I was turning around to avoid going underneath the slopes when they avalanched.  I was 200 to 300 feet away.  While the avalanche was relatively small, the debris still piled up pretty deep.  Certainly enough to bury someone.
","39.430618077588, -111.348098503700",10600.0,Northeast,Facets,Snowmobiler,Black Canyon,Skyline,2022-12-04,True
6000.0,48.0,3600,"The crown face on this avalanche was 2-6' deep with an average depth of 4'. The right and left flanks tapered down to 1'. It was estimated to be 300' wide and ran 500' vertically before stopping in the flats.  This would have been an unsurvivable avalanche.

It was difficult to determine a trigger, however there were snowmobile tracks on the ridgetop adjacent to the slide. The crown spanned aspects from east- northeast and there was some variability in the hardness of the wind slab over the weak layer throughout the crown face. 

 

The weak layer was approximately 80cm off of the ground and consisted of a very thin melt freeze crust with small grained facets above and below.  There were sections of the bed surface that were over 1 meter deep. What this tells us is that the weak layer is elevated off of the ground.  What this means for us as backcountry travelers is that the potential for much larger avalanches could be more prevalent this season.

 

This avalanche was reported late in the day on Saturday December 3, 2022. DPS did a fly by and worked with Park City Patrol to determine that there was no one involved. This avalanche occurred in closed terrain within the Park City Ski Area Boundary and resembles backcountry terrain in similar areas. 

 

As you travel near ski areas please respect their ski area boundaries. Check out resort uphill policies here. 

If you see or are involved in any avalanches around ski area boundaries please report them to the appropriate rescue organization. 
","40.613193989320, -111.556892382230",9700.0,East,Facets,Unknown,Park City Ridgeline,Salt Lake,2022-12-03,True
1200.0,24.0,840,"
","40.382080009707, -111.173980223310",10000.0,Northeast,Facets,Unknown,Roundy Basin,Uintas,2022-12-04,True
2100.0,10.0,1080,"Did not see the person making the slide. Viewed it within an hour or less of it happening by the lack of new snow on the bed surface. Person appeared to be riding down the Dog Lake Chutes and made a cross slope turn and initiated a wide/substantial Dry Loose Avalanche that dug down to the old snow new snow interface upon descent, and was at least 90 feet wide. Tracks rode out of the debris. The debris piled up to be at least 2 feet if not 3 and ran to the transition. Of note the entire rider's right half of the Main Dog Lake Chute had multiple Natural Dry Loose Avalanches that appeared to be initiating from  the steep North facing cliff bands and these also ran to the transitions. Hand Shears and Tilt Tests confirmed the obvious weakness that only got deeper as the day progressed. Snow fall rates were sustained in the S3 to S4 range for the most of the entire day with HN from 0900 exceeding 6 inches, and the HST 14 inches. Snow was extremely light density and there was good bonding to the old snow/new snow interface as the storm came in Rightside up. Still experiencing isolated collapsing, but as visibility was poor most of the day it was difficult to see any other Avalanche Activity. 
","40.584530078267, -111.587762398900",9600.0,East,New Snow,Skier,Dog Lake area,Salt Lake,2022-12-05,True
4800.0,36.0,3600,"This slide was remotely triggered 200' away on the low angle ridgeline by the party before me. (usual suspects) 

It took out 70% of the slope initially failing on the November Facet Layer (NFL) 1'-3.5' deep, 300' wide, 400' vert. About mid slope a portion of the path stepped down to the ground and entrained the whole seasons snowpack. 

I noticed this slide after I had remotely triggered a separate slide in the adjacent No Name path low and skiers rt of main line.  
","40.633080126568, -111.563780294990",9700.0,East,Facets,Skier,No No Name,Salt Lake,2022-12-05,True
7200.0,12.0,2100,"Avalanche dimensions are estimates

 

It is unclear how or who triggered this avalanche, but there were many ski tracks just south of the avalanche.

 

It was determined that no one was caught buried by three things together:


	Witnesses were interviewed by the PCMR Canyons Ski Patrol, and no one reported seeing anyone caught in the slide.
	People in the area searched the debris with avalanche transceivers 
	Utah Dept. Of Public Safety searched the debris with a helicopter mounted RECCO device.


 
","40.653750392039, -111.593842493620",9900.0,East,Facets,Unknown,Dutch Draw,Salt Lake,2022-12-06,True
5400.0,14.0,1200,"Sharp Crown still visible under cliff band. Likely triggered by a Natural Loose Dry during the high PI rates on Monday. As the Loose Dry poured over the cliffs from above, it appears that the Storm Slab Avalanche was triggered. Also likely that there was graupel pooling involved as the Crown was directly under these steep cliffs, and the first part of the event had at least 4 inches of grauple in many locations. Avalanche was SS-N D2. Only significant avalanche observed in the Snake Creek drainage off of he East ridge of Sunset. As observed throughout the region, widespread Natural Loose Dry Avalanche Cycle was evident on all steep terrain on all aspects with one digging down in the NE chutes directly off of Sunset Peak. 

 

Riding was good on SE and S, but the solar effects came into play by 1130 and there will be a m/f crust on these aspects on Wednesday. 
","40.572611876462, -111.588449044400",9700.0,Northeast,New Snow/Old Snow Interface,Natural,Snake Creek,Salt Lake,2022-12-06,True
2400.0,12.0,1200,"We noticed several natural or remotely triggered avalanches around the Green Gate area and in Providence Canyon from around 7100' to 7700' on north and west facoing slopes.
","41.687629325011, -111.727609621570",7400.0,West,Surface Hoar,Unknown,Green Gate Area,Logan,2022-12-02,True
2400.0,12.0,4200,"Was walking my old dog in Daly Canyon when I observed these avalanches so I didn't do too much investigating. It is fairly rare to see these paths avalanche. 

Avalanche 1- The Landslide area- I'd estimate the crown at an average of 1 foot. Looks like it wrapped through the whole bowl on the West through North aspects and may have sympathetically triggered several smaller adjacent paths.

I did not see any evidence of tracks into or out of this area so I presume this was a natural avalanche that happened sometime on 12/6 or 7.

 
","40.627225979747, -111.508355127910",7500.0,West,Facets,Unknown,Daly Canyon,Salt Lake,2022-12-06,True
3600.0,48.0,6000,"First significant avalanche of the season. Two storms - 18"" in late October, and 5""-7"" in early November left 18"" -24"" of snow on the ground.  Almost three weeks of high pressure in November faceted the entire snowpack. 7"" of snow fell on November 28, followed by a week of erratic, slab building winds. 14"" at 1.4"" SWE fell during a 48 hour period between December 7-8 with moderate to strong SW winds. 
","38.442341913272, -109.261329161560",11600.0,Northeast,Facets,Natural,Red Snow Cirque,Moab,2022-12-07,True
1200.0,8.0,1800,"We found this slide and suspect it happened maybe a week ago naturally. Or it may have been triggered more recently by snowmobile traffic. What was notable was how far downhill it propagated.

This slope does not face north, but it is completed shaded from sunshine and acts like a north-facing slope.

 

It occurred on the downhill side of the road from this avalanche.
","40.563548005780, -111.552804695680",7900.0,North,Facets,Unknown,Snake Creek,Provo,2022-12-02,True
360.0,8.0,1200,"This may have happened naturally on Dec 2 or could have happened more recently and been triggered by snowmobile traffic.

It occured on the uphill side of the road from this avalanche. 
","40.563364491077, -111.553394781670",7900.0,North,Facets,Unknown,Snake Creek,Provo,2022-12-02,True
4800.0,12.0,1800,"Active south wind loading. West monitor looked to have slid naturally prior to our arrival on the Park City Ridgeline.  New wind drifted snow covered over the blocks and bed surface.  Average crown face depth was 6-8"". Skiers right side closer to 12"" deep. 
","40.638404570253, -111.576311575490",9900.0,Northeast,New Snow/Old Snow Interface,Unknown,West Monitor,Salt Lake,2022-12-10,True
1103.2590344790135,15.0,1800,"Noted active wind loading on N and NE aspects throughout the afternoon. Winds were M-S at ridgetop. 

 

HS-ASc-R3-D1-O
","40.664703792556, -111.614098536090",31737.440016818065,Northeast,Density Change,Skier,Mill D North,Salt Lake,2022-12-10,False
1200.0,12.0,600,"3-4' wind driven cornice was overhanging the north side of Cemetery Ridge which was tagged as something to avoid by our crew for the day. With nearly constant 30 mph winds and stiff gusts we could see the wind deposits being made off this ridge line. One of our crews hats blew off and I went to fetch it and stabbed it about 8' from the cornice edge. 

 

I looked down the cornice and saw no one below and half thoughtlessly gave it a minor tap with my pole. The cornice broke back about 1' from the edge and propagated up and downslope for about 50' feet in the last couple days wind deposit. The avalanche then ran for about 100' downslope and ended in the pines. 
 

Several crews have skied this north slope in the past week. There were at least 3 new ski paths down this steep north facing slope with regular cornices. This is at least the second skier caused avalanche on this slope in the past 8 days.
","40.603966663909, -111.567943083380",9600.0,North,New Snow/Old Snow Interface,Skier,Lanes Leap,Salt Lake,2022-12-10,True
600.0,18.0,300,"Travelling through Walker-Webster Gulch above Daly Canyon today we were experiencing widespread cracking and collapsing with cracks propagating up to 100'. The slab was only fist to 4 finger hard but it was sitting on 2-3mm facets above a crust (presumably from the early November rain event at that elevation). This made for an adequate sliding surface for this relatively soft slab to run on given a steep enough slope. 

 

This terrain is somewhat complicated and sits above a deep gully that could easily pile up debris and even a small avalanche would be capable of burying a person under an immense amount of snow. 
","40.627411736627, -111.509299265470",7500.0,East,Facets,Skier,Daly Canyon,Salt Lake,2022-12-12,True
120.0,24.0,600,"Looks like this slope avalanched naturally during the storm, potentially on the November dry spell layer.  Saw it from road while driving in Summit Park and didn't have time to check it out more closely.  I'd estimate it's a ~40 degree slope, due North, around 7200 ft.  Plough had already cleared any debris that may have reached the road.  Just a clear red flag of how sensitive the snowpack is to the new load right now.
","40.737794134613, -111.611738192150",7200.0,North,Facets,Unknown,Summit Park,Salt Lake,2022-12-12,True
1500.0,18.0,960,"I released an approximate 75' wide, 18""-24"" deep sized soft slab slide that ran about 100-150' long today while performing a poorly placed ski cut in route to a more favorable descent route. 

 

This was on a ridge to the NW of the weather station. 

 

My plan was to ski the ridge down into trees and to cut the slope on my way over. I have seen this slope release multiple times. It seems to have the right combination of convex roll leading into a steeper section (35-38 degrees) along with terrain driven winds that must deposit close to the loading point on the convexity. Its a short shot, but can be dangerous as it drains into some trees. 

 

It was the end of my day, and I made a tired and lazy decision that I was high enough up on the ridge to cut the slope. 

 

The slope broke above me at the new snow old surface interface, then stepped down about 8-6"" onto facets above what I believe is the old dry spell layer. 

 

I was able to carry momentum and ski off to the north. 

 

There was a small amount of hangfire left at the crown slope convexity, but not enough to worry me, so I went back to take a look and investigate the snow layering. 

 

I made a really bad terrain management call, but this slide shows the fragility of the snowpack and the tricky layering we are experiencing. 

 

I added a pic of some slides/releases on the Lomond headwall. 

 

 
","41.377532619915, -111.941242205180",7500.0,Northeast,Facets,Skier,Cutler Ridge,Ogden,2022-12-12,True
1200.0,24.0,720,"Reported through a text message.  The picture tells the story.....
","41.953201208357, -111.544876085840",7100.0,East,Depth Hoar,Snowboarder,Beaver Mountain Backcountry,Logan,2022-12-13,True
2400.0,36.0,720,"Collins Snowfall Data (approximately 4 miles east and 2000' higher in elevation than accident site) for December 2022


","40.570553408405, -111.692740904380",7800.0,North,Facets,Skier,Pink Pine,Salt Lake,2022-12-13,True
1200.0,24.0,960,"This one looks like it was triggered remotely since there were some snow bike tracks on the slope around 100' below.  I have no idea when this occurred, but likely over the weekend after or during significant drifting from southerly winds.   
","41.920653255983, -111.465568529700",7800.0,East,Facets,Snow Bike,Sunrise Hill,Logan,2022-12-11,True
1200.0,36.0,720,"Ran sometime during the storm event of Dec 12-14. Incremental loading over the course of 48 hrs brought up to 20"" of snow at 1.5 SWE. Underlying snowpack is weak and faceted due to late October snow and mid November dry spell. 

 


","38.446556830954, -109.256823050420",11100.0,Northwest,Facets,Natural,Red Snow Cirque,Moab,2022-12-13,True
9600.0,30.0,1800,"Notorius, repeat running slide path that already ran during the first major storm event back in October. Ran this time sometime during the storm event of Dec 12-14. Incremental loading over the course of 48 hrs brought up to 20"" of snow at 1.5 SWE. Underlying snowpack is weak and faceted due to late October snow and mid November dry spell. 

 


","38.449212035922, -109.261887061030",11200.0,Northeast,Facets,Natural,Tukno NE Face,Moab,2022-12-13,True
2400.0,30.0,840,"Ran sometime during the storm event of Dec 12-14. Incremental loading over the course of 48 hrs brought up to 20"" of snow at 1.5 SWE. Underlying snowpack is weak and faceted due to late October snow and mid November dry spell. Avalanche detailed is smaller crown to the lookers left in photo. 


","38.449138094427, -109.259955870540",10800.0,Northeast,Facets,Natural,Gold Basin,Moab,2022-12-13,True
15000.0,24.0,3000,"I could see this sizable natural avalanche from down in the valley.   (dimensions are estimated)

 

I was able to get a better photo of the crown on 12-17-22....
","41.657685551077, -112.002954470180",7400.0,East,Facets,Natural,Wellsville Mountain Wilderness,Logan,2022-12-13,True
9600.0,48.0,12000,"Observed this avalanche in our travels today. It looks like a pretty large avalanche, and it ran downhill into the flats for roughly 1000' vertical. It looks like the upper avalanches failed and then likely triggered the third avalanche under the cliff band (of course this is speculation). 

 

The picture was taken from a distance.
","40.492378626959, -111.692386386570",10200.0,East,Facets,Natural,Box Elder,Provo,2022-12-15,True
7200.0,24.0,1800,"All sizes are estimated as well as occurrence date and time. Judging by the eroded crown and hard to see debris this avalanche happened during the storm on Tuesday evening. Looks to have been roughly 2.5 feet deep failing on our PWL problem. Noriega's Face is a north facing steep and rocky, typically shallow snowpack with a usually wind loaded starting zone. The type of terrain we should all be currently avoiding. 
","38.462141317476, -109.273860442090",10400.0,North,Facets,Natural,Noriega Face,Moab,2022-12-13,True
3600.0,36.0,2400,"Remotely triggered this avalanche on 50-100 feet away on flat terrain. This slope has been loaded by south winds creating a hard slab on top of the mid-November weak layer of facets. Remotely triggered slides are a major red flag. Additionally, I was surprised that this slide was so easily triggered with such a hard slab over the facets that makes it harder to trigger.
","40.747110147771, -111.122632013940",9900.0,Northeast,Facets,Snowmobiler,Shingle Mill,Uintas,2022-12-16,True
1800.0,36.0,1800,"Dimensions and occurrence time area estimates. Slab type and weak layer are estimates as well.
","40.826978032508, -110.989165293380",9600.0,East,Facets,Unknown,Moffit Environs,Uintas,2022-12-13,True
1200.0,36.0,600,"We remotely triggered 2 small but fairly deep slides from adjacent and higher terrain. One was from ~50' and the other maybe 200' away from our track. We stopped by to look at the lower of the two on our next lap. Aside from the new snow on top, the slab was quite dense. It had failed on a bed of facets above the ground. Also, the debris was much more substantial than it looked from our skin track. Definitely had the potential to bury a person especially with the narrow gully below.
","41.373240549207, -111.933510614580",8000.0,Northeast,Facets,Skier,Cutler Ridge,Ogden,2022-12-15,True
1200.0,30.0,1500,"A snowmobile rider triggered an avalanche while coming at this slope from below and was not caught.  Another rider that was close behind was the one that was caught and buried to his waist, no injuries.  His snowmobile was completely buried.
","39.296786642067, -111.459088312720",10100.0,North,Facets,Snowmobiler,Philadelphia Flats,Skyline,2022-12-16,True
4800.0,48.0,1500,"Noticed this avalanche from the highway as the morning sun lit up the slope.  Not sure on some of the details, but visiting with two different groups who were riding in the area yesterday, they both mentioned they did not notice the slope had avalanched during the afternoon. I'm guessing it may have happened late in the afternoon and it sure looks to be sled triggered with tracks going into the slide from both the top and from the side.  The avalanche failed on the November weak sugary snow and is 2-4' deep.  Interesting that in some places the avalanche broke down at the ground level exposing rocks and bushes.  This slope fits the characteristic of other avalanches in the surrounding area.  It is wind loaded and on the north side of the compass.
","40.877634066807, -111.000280367540",10100.0,Northeast,Facets,Snowmobiler,Humpy Bowl,Uintas,2022-12-16,True
3600.0,60.0,1500,"We came up on this avalanche that had happened recently. There was a party looking at it and the large blocks associated, the said they did not trigger it but had heard people high marking in the area. There where fresh tracks on the flanks of the avalanche so I think it may have been triggered by a party, but cannot confirm.

The top was very wind loaded and broke down to near the ground, there where rocks visible on the bed surface.

Although the chunks look hard the where 1F at the hardest but mostly F and 4F.
","40.403811261835, -111.186017977370",10200.0,Southeast,Facets,Unknown,Tower Mountain,Uintas,2022-12-17,True
2100.0,48.0,1800,"Didn't want to check this one out solo but there was a distinct track coming out of this slide, but I don't know how it was triggered. The tracks around here all looked very fresh and not filled in by the wind.

This was a wind loaded slope and it broke to the ground.

There where lots of people playing with fire today.
","40.391597089310, -111.178357588430",10200.0,Northeast,Unknown,Unknown,Little West Fork,Uintas,2022-12-17,True
3000.0,24.0,8400,"Snowmobilers triggered a number of avalanches remotely (from a distance) on Saturday.  This one (photo below) is the same site of a fatality in 2013.  DETAILS HERE
","39.042135678984, -111.518719183520",10500.0,Northeast,Facets,Snowmobiler,White Mountain,Skyline,2022-12-17,True
15000.0,48.0,3600,"We could see this fairly large natural avalanche from across Cache Valley....I'm thinking this occurred on 12-15-22, but I don't really know.

 

Observed this avalanche from town. Likely strong southwest winds overloaded Big Baldy's shoulder.
","41.674518592204, -111.755933748770",8400.0,Northwest,Facets,Natural,Big Baldy Shoulder,Logan,2022-12-15,True
2400.0,30.0,1200,"

 



 


","40.392948682888, -111.170439707420",10200.0,Northeast,Facets,Snowmobiler,Roundy Basin,Uintas,2022-12-18,True
6000.0,24.0,6000,"A natural avalanche and a cracked slope in Garden City.   Visible from Highway 89,  Bear Lake (east) side of Logan Summit.   Looks like a bit of an avalanche-urban interface issue.  The class 2 avalanche ran past a or around couple houses and down to Mahogany Drive.  
","41.923839329855, -111.438446032140",7400.0,East,Facets,Natural,East of Mahogany Drive,Logan,2022-12-21,True
2400.0,12.0,240,"Saw two small avalanches on southeast aspects around 9800'. Not much other activity in the upper Cottonwoods as seen from Grizzly Gulch and Emma Ridge. This is likely due to the pounding wind event of the last 24hrs. Sometimes when its excessively strong, the wind just plasters everything in place. Don't get me wrong, there's likely plenty of booby traps out there just waiting for a trigger but overall, not that sensitive. This first slide in the Grizzly Cup released naturally sometime overnight or early morning. SS-N-R1-D1.5-I. Hard to say exactly what layer it failed in but either old snow surface or a slight density change early in the storm. Either way the shallow depth suggests it was just the storm snow.
","40.598222995636, -111.622102247780",9800.0,Southeast,Unknown,Natural,Michigan City,Salt Lake,2022-12-22,True
4800.0,30.0,3600,"



 

A curious natural avy cycle in upper, mid elevation terrain. Strong winds stripped snow from big, windward fetch zones, overloading weak snow on the leeward side.
","40.834269961034, -111.032595621740",9600.0,Northeast,Facets,Natural,Upper Weber Canyon,Uintas,2022-12-21,True
720.0,16.0,720,"I could see evidence of a small slab avalanche as I was waiting for my coffee at the Beans and Brew.  There was other avalanche activity and slopes that had cracked and collapsed but were not steep enough to avalanche 
","41.957254381042, -111.405680166820",6200.0,East,Facets,Natural,Raspberry Patch,Logan,2022-12-21,True
4800.0,48.0,3600,"A robust thump triggered this pencil hard slab (R4-D3-O) avalanche on a NE aspect at 10,000'. The start zone measured 38-40 degrees steep. The crown averaged 4' deep and failed on the November facet layer and gouged all the way down to the ground in some parts. 
","40.845396952436, -111.059192406330",10000.0,Northeast,Facets,Explosive,Upper Weber Canyon,Uintas,2022-12-24,True
6000.0,30.0,2400,"This avalanche was estimated to have released on Dec 22nd during a strong northwest wind event.  The debris was still quite fresh which gave me a good idea of the timing of the slide.
","39.510811352176, -111.320235716460",10100.0,East,Facets,Natural,BBQ Bowl,Skyline,2022-12-22,True
2400.0,8.0,300,"One of several natural wet avalanches caused by rain falling on already saturated snow
","41.899407853325, -111.566355215640",6500.0,East,Ground Interface,Natural,Red Banks,Logan,2022-12-27,True
7200.0,24.0,3000,"We observed significant cracking and collapsing on our ascent. We took a lower angled but brushy approach. We skied a couple of slopes below 30 degrees. Rather than climb back up to exit lower angle slopes we mistakenly decided to ski a steeper slope that we had skied several times this season. The first skier skied 6-8 turns to an island of safety and then the second skier joined the first. The third skier came down from above us to skiers left and skied the slope without incident to a lower ridge which is usually safe. The second skier then followed him down. On his third turn the slope fractured 100' above him and began to move. The first skier yelled avalanche and instructed the second skier to go left. At the same time the slope to the right fractured and slid to the ground. Another slope to our left also released and slid about the same time.

The second skier was knocked down and I lost sight of him in a cloud of snow as he was carried downhill. I followed him visually down the slope from where I lost sight of him. I yelled to our other partner that I couldn't see him hoping he had a visual. Then I spotted him a couple of hundred feet below me, on a ledge near the left edge of the debris pile, as the snow stopped moving. He lost both skis and broke both safety straps. He took a beating as he was carried through maple and scrub oak. He was pinned to the ground by dense snow around his pack unable to move until he unbuckled his pack. He stood up and found one ski nearby and I located the other ski above him in some scrub oak.

He described being caught and carried, tumbling in the snow seeing nothing but white until he came to a stop on the surface. He was pummeled by snow and branches as he was carried down the slope. No major injuries occurred but he will be bruised and pulled a hamstring. He thought he was taking his last breath and so did I. It's not a good feeling. We were lucky he was ok and able to ski out. The ridge we skied out was noted to crack more than 20 times on our exit but wasn't steep enough to slide.

What did we do wrong? We didn't pay attention to the obvious and significant cracking and collapsing as we skinned up. This was at the same elevation as the avalanche we triggered.  We chose an exit from the mountain that was too steep because we didn't want to hike up to a lower angle exit. We were lulled to sleep by good skiing earlier in the day. We didn't do a proper ski cut before skiing this slope. We didn't fully understand the effects that 4 inches of rain had on the snow pack. We thought the rain would stabilize the snow pack but it completely saturated the snow to the ground making it weaker. We didn't register or heed advice from UAC forecast.

What did we do right? We reviewed the UAC forecast before our tour. We skied one at a time utilizing islands of safety above and below the slope that avalanched. We were equipped with beacons, probes and shovels and knew how to use this gear. We practice with our beacons, probes and shovels.  We reported this slide so others can learn from our mistakes. It's embarrassing to admit we screwed up.

In summary we messed up and were very lucky that things didn't turn out worse. 

 
","41.361339762640, -111.924430506720",7100.0,East,Facets,Skier,Rodeo Ridge,Ogden,2022-12-28,True
8400.0,18.0,4200,"
*Forecaster note: Thank you for the write up and sharing the information -

 

Dropped into conehead for my third run of the morning, 2nd on conehead and the 4th set of tracks on the slope. On my 3rd or 4th turn I saw the slope start to break up and immediately cut hard right. This resulted in being taken off my feet and being carried approximately 30-40 yards. I dropped a pole and went to airbag handle but gave one hard stomp with my downhill ski and got lucky. It caught, put me back on my feet and allowed me to ski out of the slide to skiers right.



Being able to ski out of this slide was beyond lucky and should not have happened. This was a huge wake up call on being too comfortable with familiar terrain and not giving the heavy storm load the full respect it deserves.

 

best guess the crown was approximately 18-24"" deep.
","40.652635265222, -111.593145119270",10000.0,East,Density Change,Skier,Dutch Draw,Salt Lake,2022-12-29,True
1500.0,42.0,840,"We came across an avalanche on our way up to Soldier Peak today. Based on the amount of new snow on top of the debris we are guessing it went last night or in the afternoon yesterday. Hard to tell if it was natural or triggered by a near by ski track (skier's left). Starting on the looker's left side of the slide it was about 3.5' deep and got shallower the further looker's right it went down to about 1'. In some places it went to the ground and in other it looked like it was within the old snow. Not crazy huge, but definely enough to bury a person especially considering it dumped right into the gully. Quite a few ski tracks around it. We also had a couple of loud collapses that had our hairs standing on end today. 

 

SS-U-R2-D2.5-G
","40.662817227671, -111.661927687230",8000.0,Northwest,Facets,Unknown,Butler Fork,Salt Lake,2022-12-28,True
