,Date,Region,Place,Trigger,Trigger: additional info,Weak Layer,Depth,Width,Vertical,Aspect,Elevation,Coordinates,Caught,Carried,Buried - Partly,Buried - Fully,Injured,Killed,Accident and Rescue Summary,Terrain Summary,Weather Conditions and History,Depth_Inches,Width_Inches,Vertical_Inches,Elevation_Feet,Avlanche Season Phase
67,2010-02-17,Salt Lake,Figure 8 Hill,Unknown,Unintentionally Triggered,Surface Hoar,2',80',,Northeast,"9,700'","40.593197000000, -111.604958000000",1.0,1.0,1.0,,,," From top of Milli lift from Brighton 4 of us skinned out into Milli Bowl past Stupid Chute and up to the top of the bowl. We skied one run and on the second run the first skier dropped in and made 4 turns and just beyond the crest a 2- 2 1/2 foot fracture 80-100 feet wide broke loose. He rode it down almost buried (only head visable) and it came to a stop 100-120 yards down. He was buried up to waist and was able to dig out on own. 
Overcast, foggy, no wind around 30 degrees.

Snow was medium weight powder on top 2 feet and the slope angle was around 35-40 degree where the fracture occured. The debre at the bottom of slide was 3-4 feet deep. 
The slide let loose slowly--did no hear anything.
None
No new snow and it did not appear to be much wind loading.
I would pass by this line in the future.

Your Avalanche forcast for the day describes very much what happend in this incident. I can send photos later if you would like. Also the slide is visible from the top of the Milli lift.",,,24.0,960.0,,9700.0,Start
68,2020-04-02,Salt Lake,Back Bowls,Natural,,New Snow/Old Snow Interface,"7""",100',250',Northeast,"10,300'","40.588582784920, -111.601479093010",,,,,,,,,,7.0,1200.0,3000.0,10300.0,Middle
69,2023-01-10,Logan,North Wood Camp,Natural,,Facets,,,"1,750'",East,"8,000'","41.822696804644, -111.669690670680",,,,,,,,,,,,21000.0,8000.0,Start
70,2021-12-18,Logan,Providence Peak,Natural,,New Snow/Old Snow Interface,"18""",200',600',Northeast,"9,400'","41.705411669707, -111.712996215250",,,,,,,,,,18.0,2400.0,7200.0,9400.0,End
71,2019-05-23,Salt Lake,Superior,Skier,Remotely Triggered,Density Change,"12""",150',600',North,"10,800'","40.592372413397, -111.665285812930",2.0,2.0,,,,,,,,12.0,1800.0,7200.0,10800.0,Middle
72,2015-12-24,Salt Lake,Little Water,Natural,,,,,,North,"8,900'","40.673803284413, -111.621437153370",,,,,,,,,,,,,8900.0,End
73,2013-12-07,Salt Lake,Red Baldy,Natural,,,,,,Northwest,"11,100'","40.540260000000, -111.668816000000",,,,,,,,,,,,,11100.0,End
74,2022-12-10,Salt Lake,Mineral Fork,Natural,,,"3""",35',,West,"8,500'","40.615776760584, -111.678782688700",,,,,,,,,,3.0,420.0,,8500.0,End
75,2010-01-20,Salt Lake,East Bowl,Skier,Intentionally Triggered,,"18""",30',60',West,"10,000'","40.601800000000, -111.616416000000",,,,,,,,,,18.0,360.0,720.0,10000.0,Start
76,2013-03-04,Salt Lake,Jaws,Skier,Cornice Triggered,New Snow/Old Snow Interface,"8""",50',600',North,"10,200'","40.600920000000, -111.634655000000",,,,,,,,,,8.0,600.0,7200.0,10200.0,Start
77,2018-01-13,Salt Lake,Snake Creek Pass,Natural,,,"10""",200',400',Northeast,"9,300'",,,,,,,,,,,10.0,2400.0,4800.0,9300.0,Start
78,2021-12-27,Salt Lake,Toots to Boot,Skier,Remotely Triggered,Ground Interface,2',80',"1,500'",Northeast,"9,300'","40.682515949324, -111.683149324960",,,,,,,,,,24.0,960.0,18000.0,9300.0,End
79,2020-12-28,Moab,Gold Basin,Natural,,Facets,3',60',400',Northeast,"11,000'","38.448211303839, -109.259977328230",,,,,,,,,,36.0,720.0,4800.0,11000.0,End
80,2016-12-16,Logan,Shumway Canyon,Natural,,,,,"1,500'",East,,"41.654007820953, -112.011558506960",,,,,,,,,,,,18000.0,,End
81,2019-11-30,Skyline,Meadow Fork,Skier,Remotely Triggered,Facets,3',150',150',North,"10,000'","39.438043012891, -111.369931685080",,,,,,,,,,36.0,1800.0,1800.0,10000.0,End
82,2014-02-28,Salt Lake,Catchers Mit,Natural,,Density Change,,,,East,,,,,,,,,,,,,,,,Start
83,2018-12-01,Salt Lake,West Bowl,Skier,Cornice Triggered,Depth Hoar,2',100',,North,"9,900'","40.598599691984, -111.625942439490",,,,,,,,,,24.0,1200.0,,9900.0,End
84,2018-01-14,Logan,Tony Grove,,,,,,,,"8,500'",,,,,,,,,,,,,,8500.0,Start
85,2015-01-25,Salt Lake,Meadows,Snowboarder,Unintentionally Triggered,Wet grains,"6""",50',400',East,"8,600'",,,,,,,,,,,6.0,600.0,4800.0,8600.0,Start
86,2019-02-15,Skyline,BBQ Bowl,Natural,,Facets,,,,Northeast,"10,300'","39.508001964017, -111.319270121220",,,,,,,,,,,,,10300.0,Start
87,2015-12-23,,,,,,,,,,,"40.360345354572, -111.636199981490",,,,,,,,,,,,,,End
88,2010-04-02,Salt Lake,Park City Ridgeline,Skier,Unintentionally Triggered,Density Change,"18""",50',200',North,"9,300'","0.000000000000, 0.000000000000",,,,,,,,,,18.0,600.0,2400.0,9300.0,Middle
89,2022-02-24,Skyline,South Fork Twin Creek,Skier,Remotely Triggered,Facets,2.5',250',400',Northeast,"9,600'","39.464677435648, -111.340813624010",,,,,,,,,,30.0,3000.0,4800.0,9600.0,Start
90,2022-03-09,Salt Lake,Lambs Canyon,Natural,,Facets,"20""",400',200',Northwest,"7,800'","40.716334703760, -111.674258947550",,,,,,,,,,20.0,4800.0,2400.0,7800.0,Start
91,2022-12-28,Ogden,Rodeo Ridge,Skier,Unintentionally Triggered,Facets,2',250',600',East,"7,100'","41.361339762640, -111.924430506720",1.0,1.0,,,,,,,,24.0,3000.0,7200.0,7100.0,End
92,2010-01-24,Uintas,Currant Creek Peak,Natural,,Facets,3',700',"1,000'",Northeast,"9,800'","0.000000000000, 0.000000000000",,,,,,,,,,36.0,8400.0,12000.0,9800.0,Start
93,2015-03-04,Salt Lake,Butler Basin,Skier,Intentionally Triggered,Facets,2',,,Northeast,"9,500'",,,,,,,,,,,24.0,,,9500.0,Start
94,2014-01-12,Skyline,Blue Slide Fork,Natural,,Facets,2',200',400',North,"10,100'","39.530175000000, -111.306696000000",,,,,,,,,,24.0,2400.0,4800.0,10100.0,Start
95,2010-02-17,Salt Lake,Little Water Peak,Skier,Unintentionally Triggered,Surface Hoar,"12""",250',,North,"9,400'","40.673380000000, -111.627917000000",,,,,,,,,,12.0,3000.0,,9400.0,Start
96,2014-04-11,Salt Lake,Superior,Natural,,,,,,Southeast,"10,500'",,,,,,,,,,,,,,10500.0,Middle
97,2011-03-08,Salt Lake,Wilson Glade,Skier,,New Snow/Old Snow Interface,"21""",50',600',North,"9,900'","40.675138000000, -111.672163000000",,,,,,,,,,21.0,600.0,7200.0,9900.0,Start
98,2014-04-01,Salt Lake,Cardiff Pass,Skier,Intentionally Triggered,New Snow/Old Snow Interface,"12""",100',100',East,"9,400'","40.594667000000, -111.646575000000",,,,,,,,,,12.0,1200.0,1200.0,9400.0,Middle
99,2019-01-17,Provo,Buckley Mountain,Natural,,,,150',,West,"8,000'","40.214082992077, -111.598941624400",,,,,,,,,,,1800.0,,8000.0,Start
100,2010-12-10,Logan,South Tony Grove,Snowboarder,Intentionally Triggered,New Snow,"8""",20',30',North,"8,200'","41.888956000000, -111.640019000000",,,,,,,,,,8.0,240.0,360.0,8200.0,End
101,2019-12-14,Uintas,Uintas,Skier,,,"1""",100',,Northeast,"9,700'",,,,,,,,,,,1.0,1200.0,,9700.0,End
102,2023-01-29,Logan,Water Canyon,Natural,,Facets,2',,,South,"8,500'","41.830735983033, -111.718323569730",,,,,,,,,,24.0,,,8500.0,Start
103,2014-02-09,Skyline,Seeley Canyon,Natural,,Facets,,,,Northeast,"10,500'","39.499465000000, -111.289828000000",,,,,,,,,,,,,10500.0,Start
104,2019-12-14,Salt Lake,Cardiff Pass,Unknown,,,"8""",300',,Northeast,"9,600'",,,,,,,,,,,8.0,3600.0,,9600.0,End
105,2019-04-14,Salt Lake,Y Coulior,Natural,,,"6""",10',,North,"7,500'",,,,,,,,,,,6.0,120.0,,7500.0,Middle
106,2012-01-18,Logan,South Richards Hollow,Skier,,,"12""",80',500',East,"8,900'","41.683169000000, -111.696925000000",,,,,,,,,,12.0,960.0,6000.0,8900.0,Start
107,2023-01-29,Logan,Ham Hollow,Natural,,Facets,2.5',"1,500'","1,750'",South,"8,500'","41.821631790944, -111.678252891350",,,,,,,,,,30.0,18000.0,21000.0,8500.0,Start
108,2023-01-28,Salt Lake,Butler Basin,Skier,Unintentionally Triggered,Density Change,"18""",250',,Northeast,"9,000'","40.663089044180, -111.676213016050",1.0,1.0,1.0,,1.0,,"With permission and from Mark White's Blog : ""Today we headed up Butler Fork thinking that we would stay out of the wind and ski a sheltered NE facing bowl at around 9,000ft. We realized the snow was denser than expected and slightly inverted on our hike in but we stayed out of the wind and never felt any slabby snow. This bowl is steep at the top, 38 plus degrees, then mellows out rapidly in the middle. We ascended in the steep trees on skiers right side, did a ski cut that only produced sluffing and skied the bowl with no obvious instabilities. We proceeded to hike up again but this time went up about 10 feet higher, still on the edge of the trees. My partner was about 10 feet in front of me and stomped out a flat spot to take his skins off, next thing we know the bowl is fracturing 50ft above us. My partner was on the edge of the slide and just got pushed 2 feet. I was in the middle, got pushed into a stand of trees and got buried to the top of my chest. I also heard and felt my hamstring pop. I was still in hiking mode with toes locked in and skins on with my legs all twisted up. It required my partner to dig me out and release my skis from my feet. A few minutes after I was out we heard a pop and the middle of the bowl pulled out remotely. The first slide was 100ft wide, 18 inches at the deepest point. The next slide extended the crown to 250ft and ran to where the slope flattened out. I doubt we would’ve triggered a slide if we would have stayed lower out of the windslab. The windslab wasn’t obvious but it only makes sense in retrospect. There’s a massive cornice at the top and while the wind wasn’t out of hand it was still loading the slope right below the cornice with denser snow. Sometimes the line between triggering a slide and not is thin but it sucks to be on the wrong side of that line. Just glad I had a good partner with me and can ski on one leg fairly efficiently. Mistakes were definitely made but we live and hopefully learn from them.""

 

 ",,,18.0,3000.0,,9000.0,Start
109,2023-03-05,Salt Lake,Weathering Heights,Unknown,,Density Change,"8""",20',,East,"8,300'","40.658080488816, -111.635513292860",,,,,,,,,,8.0,240.0,,8300.0,Start
110,2017-01-21,Salt Lake,West Porter,Natural,,New Snow,,,,Northeast,"9,300'","40.671466935830, -111.721718484790",,,,,,,,,,,,,9300.0,Start
111,2010-02-22,Salt Lake,Ontario Canyon,Skier,Intentionally Triggered,,"12""",40',,Northeast,"9,100'","0.000000000000, 0.000000000000",,,,,,,,,,12.0,480.0,,9100.0,Start
112,2022-11-09,Salt Lake,West Bowl,Natural,,New Snow/Old Snow Interface,"18""",70',,Northwest,"9,700'","40.600459885100, -111.627531038850",,,,,,,,,,18.0,840.0,,9700.0,End
